n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
258,8060,6795,6824,14975,7544,7786,7607,7227,7181
259,7965,6820,6851,15085,7605,7817,7624,7270,7225
260,8238,6878,6872,15297,7767,7843,7668,7306,7270
261,7974,6934,6887,15233,7791,7869,7685,7347,7307
262,8207,6951,6995,15425,7746,7899,7722,7388,7348
263,8058,7086,7007,15594,7800,7933,7755,7435,7386
264,8221,7152,7068,15802,7942,7961,7790,7472,7430
265,8179,7258,7312,15905,7984,7996,7804,7521,7476
266,8377,7332,7318,15988,8055,8020,7856,7561,7519
267,8265,7389,7352,16128,8101,8050,7872,7603,7563
268,8373,7428,7370,16354,8276,8090,7914,7652,7608
269,8277,7534,7428,16462,8289,8127,7938,7694,7662
270,8466,7697,7537,16594,8169,8157,7978,7739,7699
271,8369,7658,7694,16726,8229,8188,8015,7785,7744
272,8547,7655,7622,16832,8412,8213,8044,7830,7785
273,8430,8023,7839,17069,8559,8236,8062,7875,7842
274,8622,7977,7946,17092,8495,8273,8105,7924,7881
275,8424,8026,8054,17277,8588,8299,8125,7972,7927
276,8649,8126,8131,17465,8816,8342,8166,8012,7970
277,8586,8125,8239,17607,8930,8372,8196,8060,8010
278,8881,8104,8117,17687,8672,8402,8231,8100,8052
279,8555,8286,8216,17802,8783,8435,8266,8148,8099
280,8771,8324,8332,17937,8983,8478,8309,8191,8141
281,8736,8543,8504,18085,9198,8505,8335,8235,8186
282,8954,8572,8571,18184,9158,8539,8372,8281,8234
283,8748,8600,8637,18293,9269,8578,8400,8321,8271
284,8942,8670,8665,18483,9571,8617,8441,8371,8318
285,8814,8693,8677,18569,9626,8645,8469,8414,8360
286,8985,8724,8704,18697,9315,8684,8507,8448,8411
287,8957,8751,8757,18832,9508,8722,8543,8486,8446
288,9046,8788,8778,18944,9775,8749,8579,8539,8498
289,8892,8988,8967,19081,9858,8773,8589,8582,8541
290,9237,9018,9008,19191,9773,8795,8631,8635,8585
291,9061,9037,9032,19320,9861,8840,8654,8667,8630
292,9190,9080,9067,19466,10066,8864,8694,8710,8677
293,9065,9110,9093,19569,10154,8907,8746,8753,8720
294,9284,9124,9124,19674,9996,8945,8759,8799,8774
295,9136,9158,9178,19795,10118,8984,8793,8834,8799
296,9327,9184,9180,19932,10247,9015,8829,8884,8843
297,9219,9371,9381,20098,10343,9038,8851,8937,8900
298,9529,9391,9401,20203,10324,9080,8899,8966,8946
299,9305,9435,9445,20337,10357,9119,8927,9012,8978
300,9479,9475,9468,20455,10560,9161,9001,9062,9016
301,9335,9485,9504,20569,10610,9219,9002,9095,9067
302,9545,9534,9524,20673,10581,9229,9039,9152,9116
303,9442,9571,9551,20850,10631,9270,9072,9194,9160
304,9738,9595,9597,20955,10788,9303,9117,9223,9199
305,9502,9803,9766,21098,10827,9356,9137,9294,9231
306,9849,9803,9798,21198,10793,9377,9181,9314,9282
307,9590,9847,9851,21323,10837,9407,9209,9355,9330
308,9827,9856,9873,21465,10990,9447,9253,9398,9367
309,9733,9898,9897,21586,11034,9478,9290,9447,9415
310,9866,9921,9955,21708,11041,9532,9328,9485,9452
311,9664,9954,9971,21844,11056,9563,9371,9539,9495
312,9849,10005,10004,21988,11220,9611,9424,9559,9541
313,9864,10185,10197,22111,11270,9636,9435,9598,9594
314,10165,10212,10214,22210,11208,9680,9501,9642,9622
315,9855,10250,10256,22350,11286,9727,9530,9717,9666
316,10086,10276,10277,22492,11439,9760,9569,9744,9706
317,9897,10322,10312,22607,11513,9791,9606,9777,9755
318,10095,10337,10346,22766,11439,9849,9655,9821,9804
319,10020,10385,10384,22904,11497,9891,9685,9854,9834
320,10212,10407,10404,23026,11644,9916,9720,9893,9889
321,10038,10622,10608,23171,11740,9943,9741,9935,9914
322,10233,10628,10640,23298,11660,9983,9794,9966,9953
323,10204,10671,10660,23422,11715,10036,9831,10014,10004
324,10379,10688,10704,23566,11882,10055,9859,10050,10024
325,10206,10729,10735,23704,11954,10100,9883,10080,10070
326,10511,10763,10783,23815,11871,10130,9925,10109,10125
327,10286,10788,10779,23955,11955,10169,9955,10162,10139
328,10437,10822,10842,24089,12106,10218,10013,10204,10176
329,10363,11041,11001,24226,12167,10279,10018,10229,10211
330,10593,11032,11031,24361,12122,10298,10071,10270,10264
331,10394,11091,11066,24498,12171,10337,10102,10291,10297
332,10633,11121,11099,24632,12308,10362,10159,10336,10338
333,10418,11127,11159,24774,12383,10424,10192,10372,10361
334,10698,11153,11159,24916,12342,10463,10221,10401,10395
335,10553,11206,11195,25054,12383,10504,10270,10432,10438
336,10732,11235,11226,25182,12561,10538,10301,10461,10485
337,10662,11445,11425,25326,12579,10598,10324,10495,10508
338,10914,11493,11451,25452,12533,10605,10376,10528,10532
339,10730,11520,11485,25590,12607,10666,10421,10562,10604
340,11045,11559,11550,25758,12751,10688,10464,10608,10605
341,10925,11557,11569,25892,12846,10737,10486,10637,10624
342,11031,11596,11604,26019,12772,10782,10531,10696,10689
343,10859,11626,11631,26171,12845,10843,10580,10710,10706
344,11044,11684,11666,26308,13007,10864,10616,10741,10763
345,10968,11852,11848,26444,13029,10905,10653,10776,10772
346,11253,11892,11881,26578,12989,10964,10702,10821,10800
347,10928,11916,11976,26725,13051,11037,10756,10840,10828
348,11240,11996,11954,26864,13259,11057,10794,10875,10869
349,11011,12003,11999,27004,13262,11092,10822,10922,10905
350,11324,12044,12022,27150,13236,11120,10861,10950,10932
351,11096,12052,12061,27298,13315,11175,10912,10979,10980
352,11288,12086,12100,27443,13462,11207,10953,10967,10974
353,11139,12281,12325,27590,13484,11233,10992,10999,11029
354,11385,12306,12362,27721,13451,11278,11031,11049,11063
355,11284,12353,12384,27876,13541,11323,11054,11081,11085
356,11504,12411,12414,28019,13670,11361,11114,11116,11103
357,11375,12454,12446,28183,13746,11417,11138,11148,11140
358,11514,12452,12460,28289,13721,11438,11181,11153,11178
359,11417,12500,12505,28455,13767,11507,11228,11209,11196
360,11573,12529,12539,28601,13919,11527,11267,11224,11219
361,11483,12704,12712,28733,13964,11572,11286,11265,11272
362,11644,12775,12787,28900,13943,11610,11360,11307,11272
363,11505,12788,12780,29042,13971,11647,11421,11332,11331
364,11754,12820,12825,29203,14175,11724,11433,11376,11371
365,11558,12860,12883,29331,14233,11751,11482,11388,11370
366,11779,12899,12892,29463,14192,11787,11511,11392,11415
367,11731,12970,12950,29622,14265,11856,11557,11447,11450
368,12008,12983,12978,29800,14409,11865,11597,11486,11493
369,11733,13189,13203,29932,14460,11946,11641,11511,11515
370,12074,13203,13232,30085,14411,11944,11687,11554,11548
371,11837,13256,13261,30233,14468,11994,11711,11567,11556
372,12030,13269,13263,30384,14644,12036,11760,11602,11603
373,11903,13327,13299,30505,14713,12080,11822,11601,11624
374,12142,13339,13344,30684,14640,12123,11840,11658,11673
375,11951,13360,13377,30812,14680,12174,11924,11679,11681
376,12352,13426,13435,30977,14875,12195,11933,11719,11731
377,11967,13644,13619,31144,14947,12243,11987,11744,11738
378,12298,13693,13661,31301,14866,12285,12033,11802,11776
379,12165,13724,13694,31453,14966,12334,12095,11793,11809
380,12462,13748,13721,31593,15115,12381,12111,11835,11829
381,12169,13804,13760,31740,15184,12432,12141,11882,11878
382,12343,13822,13810,31919,15128,12474,12206,11891,11894
383,12242,13852,13843,32068,15208,12545,12229,11934,11939
384,12537,13885,13913,32213,15336,12570,12260,11953,11968
385,12363,14109,14114,32384,15421,12573,12303,12012,11993
386,12472,14141,14144,32518,15363,12660,12339,12053,12042
387,12360,14173,14158,32681,15434,12646,12377,12094,12078
388,12592,14169,14217,32842,15615,12684,12418,12107,12130
389,12502,14253,14263,32973,15700,12713,12455,12155,12180
390,12705,14289,14253,33124,15615,12785,12494,12199,12200
391,12552,14323,14305,33303,15678,12809,12550,12266,12225
392,12703,14365,14354,33474,15870,12852,12565,12301,12276
393,12667,14573,14591,33605,15917,12860,12598,12332,12326
394,12984,14614,14603,33770,15843,12923,12636,12353,12365
395,12746,14654,14654,33937,15922,12957,12701,12384,12402
396,13026,14697,14706,34090,16111,13006,12727,12407,12422
397,12703,14726,14731,34277,16170,13048,12756,12467,12466
398,13080,14744,14759,34428,16115,13101,12810,12499,12511
399,12733,14796,14786,34575,16181,13126,12845,12536,12526
400,13072,14841,14835,34747,16351,13151,12881,12588,12565
401,12847,15077,15087,34918,16408,13186,12934,12589,12615
402,13205,15108,15115,35070,16366,13239,12968,12761,12861
403,13044,15132,15257,35565,16496,13491,13095,12691,12694
404,13111,15167,15204,35425,16621,13292,13069,12763,12739
405,12988,15210,15244,35596,16685,13334,13089,12762,12762
406,13181,15299,15257,35699,16659,13370,13148,12800,12792
407,13131,15296,15315,35882,16711,13441,13203,12844,12834
408,13310,15353,15342,36073,16854,13476,13235,12885,12896
409,13285,15591,15602,36199,16934,13481,13287,12932,12911
410,13391,15640,15609,36381,16904,13529,13335,12927,12922
411,13300,15670,15656,36524,16967,13613,13369,12971,12976
412,13485,15675,15671,36722,17131,13649,13419,13027,12999
413,13326,15758,15748,36865,17197,13700,13471,13052,13038
414,13515,15755,15764,37032,17175,13742,13510,13086,13078
415,13404,15800,15818,37218,17222,13762,13546,13123,13104
416,13666,15854,15858,37412,17379,13784,13581,13170,13159
417,13454,16114,16121,37551,17455,13856,13598,13190,13180
418,13744,16132,16124,37744,17405,13857,13669,13250,13204
419,13608,16134,16194,37866,17459,13915,13681,13263,13241
420,13758,16223,16187,38055,17646,13969,13727,13291,13280
421,13517,16251,16262,38225,17709,13985,13787,13343,13335
422,13797,16265,16287,38407,17644,14012,13816,13354,13353
423,13681,16339,16333,38537,17743,14072,13869,13387,13403
424,14009,16360,16378,38721,17910,14089,13931,13426,13418
425,13746,16647,16649,38873,17967,14139,13945,13475,13438
426,14035,16663,16635,39033,17939,14162,14004,13502,13476
427,13791,16701,16702,39246,18009,14213,14046,13519,13551
428,14111,16745,16741,39405,18163,14293,14099,13572,13531
429,13865,16771,16764,39593,18245,14298,14147,13604,13594
430,14148,16798,16818,39764,18221,14337,14198,13620,13642
431,13936,16856,16826,39921,18260,14388,14235,13666,13681
432,14181,16897,16908,40083,18457,14459,14295,13706,13698
433,13940,17181,17178,40277,18507,14468,14331,13720,13737
434,14213,17247,17215,40454,18472,14519,14383,13768,13754
435,14026,17234,17237,40601,18544,14545,14400,13827,13788
436,14312,17291,17301,40794,18723,14623,14440,13835,13833
437,14215,17349,17350,40984,18785,14633,14507,13869,13843
438,14434,17382,17387,41152,18724,14683,14556,13894,13874
439,14243,17440,17428,41316,18834,14737,14590,13921,13935
440,14385,17462,17470,41510,18995,14793,14652,13954,13966
441,14335,17764,17778,41656,19055,14820,14682,14012,13989
442,14670,17789,17808,41841,19012,14867,14748,14013,14031
443,14532,17963,17856,42197,19250,15030,14769,14090,14084
444,14718,17899,17997,42209,19264,14982,14829,14091,14094
445,14444,17912,17925,42391,19346,14993,14848,14120,14125
446,14700,17968,17978,42558,19306,15068,14919,14168,14167
447,14569,17999,18011,42762,19383,15082,14944,14187,14197
448,14714,18046,18052,42900,19535,15153,14970,14223,14200
449,14634,18552,18453,43383,19743,15181,14991,14433,14365
450,15258,18576,18605,43714,19744,15358,15366,14638,14569
451,14853,18661,18660,43891,19806,15408,15420,14522,14539
452,14898,18570,18700,43700,19864,15311,15222,14380,14350
453,14892,18601,18617,43865,19915,15348,15185,14437,14409
454,15090,18627,18643,44041,19885,15401,15239,14420,14436
455,15029,18643,18702,44226,19960,15450,15275,14462,14437
456,14988,18709,18717,44375,20116,15485,15329,14546,14494
457,14849,19031,19045,44596,20230,15519,15347,14556,14542
458,15130,19079,19030,44766,20169,15558,15410,14605,14580
459,14875,19138,19078,44967,20221,15612,15444,14616,14592
460,15225,19138,19136,45140,20475,15642,15503,14663,14615
461,15080,19163,19164,45341,20537,15690,15544,14677,14678
462,15208,19243,19213,45523,20528,15734,15589,14721,14712
463,15062,19279,19266,45688,20611,15769,15625,14751,14744
464,15482,19312,19308,45887,20792,15828,15677,14793,14767
465,15105,19611,19610,46068,20841,15844,15726,14820,14796
466,15432,19614,19654,46264,20786,15886,15749,14833,14816
467,15253,19697,19697,46442,20875,15956,15812,14874,14856
468,15574,19716,19727,46622,21131,15980,15874,14896,14890
469,15364,19777,19749,46823,21214,15993,15907,14940,14915
470,15450,19804,19816,47013,21205,16071,15957,14985,14957
471,15409,19839,19869,47204,21313,16115,16000,15019,14960
472,15723,19892,19905,47370,21504,16133,16045,15036,15044
473,15646,20197,20170,47550,21550,16186,16055,15092,15080
474,15668,20242,20213,47771,21581,16244,16138,15134,15095
475,15548,20252,20263,47920,21677,16296,16170,15161,15134
476,15819,20317,20305,48120,21854,16344,16223,15181,15171
477,15582,20334,20356,48300,21931,16381,16257,15190,15209
478,15852,20388,20376,48513,22002,16427,16320,15241,15227
479,15733,20415,20440,48702,22064,16477,16345,15281,15262
480,16051,20476,20483,48892,22260,16533,16402,15307,15286
