n,Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
76,4242,1650,1715,1746,1722,1734,3694,2161,1932,1888,1936,2174,0,0,0,0,0,0
77,4371,1671,1770,1774,1760,1777,3750,2197,1967,1921,1971,2133,0,0,0,0,0,0
78,4480,1713,1793,1810,1796,1809,3816,2235,2060,1957,2013,2179,0,0,0,0,0,0
79,4595,1745,1819,1892,1835,1858,3884,2273,2039,1986,2036,2211,0,0,0,0,0,0
80,4693,1789,1869,1877,1939,1904,3955,2324,2073,2014,2066,2240,0,0,0,0,0,0
81,4837,1822,1886,1903,1916,1937,3979,2328,2094,2041,2093,2275,0,0,0,0,0,0
82,4931,1838,1911,1935,1956,1968,4053,2365,2129,2070,2127,2310,0,0,0,0,0,0
83,5021,1879,1954,1972,1995,2006,4113,2407,2163,2111,2163,2347,0,0,0,0,0,0
84,5158,1913,1966,2002,2040,2045,4177,2447,2202,2137,2198,2387,0,0,0,0,0,0
85,5307,1939,2018,2037,2083,2125,4237,2476,2240,2172,2244,2413,0,0,0,0,0,0
86,5412,1978,2036,2070,2129,2137,4307,2528,2265,2196,2276,2514,0,0,0,0,0,0
87,5504,2010,2145,2104,2168,2179,4400,2577,2314,2317,2313,2508,0,0,0,0,0,0
88,5688,2055,2092,2143,2208,2287,4449,2597,2365,2287,2336,2540,0,0,0,0,0,0
89,5838,2074,2160,2171,2249,2275,4491,2627,2385,2315,2369,2570,0,0,0,0,0,0
90,5954,2112,2178,2200,2293,2307,4575,2674,2420,2351,2410,2608,0,0,0,0,0,0
91,6091,2150,2207,2239,2337,2365,4651,2719,2464,2397,2448,2656,0,0,0,0,0,0
92,6237,2198,2245,2278,2382,2409,4721,2757,2511,2432,2491,2704,0,0,0,0,0,0
93,6244,2233,2288,2308,2426,2443,4767,2799,2547,2466,2523,2736,0,0,0,0,0,0
94,6383,2262,2344,2297,2482,2490,4866,2843,2592,2515,2575,2798,0,0,0,0,0,0
95,6522,2295,2354,2373,2511,2536,4920,2890,2631,2559,2608,2853,0,0,0,0,0,0
96,6667,2330,2368,2419,2560,2579,4989,2922,2663,2589,2637,2878,0,0,0,0,0,0
97,6819,2370,2428,2450,2604,2623,5053,2954,2696,2616,2666,2969,0,0,0,0,0,0
98,7003,2404,2457,2485,2653,2660,5158,2993,2719,2650,2706,2943,0,0,0,0,0,0
99,7131,2437,2505,2527,2705,2725,5170,3024,2758,2739,2745,2983,0,0,0,0,0,0
100,7211,2474,2587,2561,2810,2771,5242,3067,2792,2716,2793,3019,0,0,0,0,0,0
