n,Heap,Tournament Tree
429,1722,1869
430,1732,1884
431,1726,1868
432,1731,1870
433,1745,1876
434,1746,1893
435,1747,1890
436,1771,1910
437,1762,1908
438,1760,1909
439,1783,1905
440,1781,1914
441,1817,1999
442,1796,1917
443,1792,1922
444,1796,1925
445,1863,1953
446,1810,1936
447,1815,1943
448,1821,1946
449,1830,1973
450,1832,1970
451,1856,1965
452,1840,1965
453,1846,2042
454,1853,1977
455,1858,1983
456,1863,1988
457,1867,2020
458,1873,1997
459,1879,2003
460,1884,2006
461,1890,2026
462,1898,2023
463,1914,2034
464,1907,2027
465,1911,2106
466,1918,2037
467,1924,2043
468,1935,2054
469,1943,2119
470,1942,2058
471,1949,2063
472,1956,2067
473,2077,2073
474,1968,2079
475,1975,2085
476,1980,2086
477,2057,2091
478,1992,2097
479,2000,2105
480,2004,2107
481,2075,2111
482,2037,2133
483,2057,2137
484,2040,2150
485,2101,2172
486,2038,2159
487,2057,2149
488,2065,2172
489,2076,2153
490,2081,2178
491,2085,2174
492,2076,2280
493,2081,2178
494,2098,2209
495,2096,2198
496,2120,2188
497,2107,2198
498,2123,2207
499,2139,2227
500,2125,2209
501,2130,2235
502,2175,2243
503,2158,2232
504,2159,2234
505,2164,2240
506,2165,2275
507,2199,2315
508,2198,2304
509,2185,2269
510,2192,2263
511,2204,2296
512,2211,2292
513,2217,2307
514,2232,2319
515,2218,2294
516,2215,2306
517,2246,2315
518,2323,2311
519,2273,2349
520,2292,2355
521,2260,2323
522,2273,2348
523,2255,2370
524,2297,2360
525,2292,2356
526,2293,2392
527,2300,2393
528,2283,2371
529,2281,2385
530,2292,2374
531,2300,2393
532,2302,2393
533,2324,2414
534,2329,2406
535,2319,2405
536,2332,2405
537,2339,2562
538,2329,2440
539,2335,2471
540,2360,2461
541,2358,2439
542,2349,2447
543,2367,2457
544,2381,2482
545,2394,2466
546,2387,2471
547,2390,2484
548,2401,2473
549,2401,2496
550,2398,2494
551,2400,2501
552,2409,2493
553,2417,2501
554,2412,2510
555,2414,2532
556,2430,2521
557,2433,2526
558,2445,2539
559,2458,2556
560,2450,2549
561,2456,2552
562,2466,2563
563,2466,2559
564,2457,2584
565,2494,2585
566,2492,2594
567,2503,2587
568,2484,2591
569,2526,2654
570,2536,2624
571,2518,2609
572,2538,2631
573,2518,2617
574,2533,2628
575,2533,2635
576,2521,2619
577,2514,2625
578,2522,2653
579,2534,2752
580,2549,2644
581,2537,2646
582,2539,2649
583,2549,2660
584,2550,2664
585,2572,2673
586,2595,2674
587,2565,2693
588,2607,2717
589,2589,2690
590,2593,2724
591,2602,2707
592,2657,2706
593,2596,2732
594,2599,2747
595,2676,2743
596,2614,2728
597,2619,2733
598,2646,2739
599,2665,2758
600,2654,2751
601,2687,2778
602,2645,2760
603,2679,2771
604,2726,2772
605,2663,2818
606,2682,2790
607,2711,2809
608,2693,2808
609,2703,2825
610,2810,2815
611,2691,2813
612,2718,2830
613,2719,2859
614,2723,2852
615,2713,2836
616,2721,2838
617,2725,2842
618,2731,2937
619,2735,2855
620,2743,2860
621,2747,2909
622,2752,2870
623,2764,2881
624,2783,3006
625,2768,2885
626,2774,2890
627,2778,2912
628,2803,2917
629,2790,2908
630,2798,2914
631,2803,2922
632,2816,2925
633,2815,2943
634,2819,2936
635,2826,2956
636,2839,2947
637,2858,2994
638,2860,2957
639,2852,2963
640,2855,2968
641,2860,2977
642,2863,2979
643,2872,2986
644,2874,2989
645,2881,3010
646,2883,3002
647,2907,3041
648,2919,3022
649,2921,3039
650,2906,3040
651,2914,3034
652,2935,3049
653,2938,3066
654,2928,3056
655,2949,3057
656,2938,3058
657,2945,3061
658,2953,3068
659,2957,3072
660,2959,3078
661,2965,3100
662,3007,3092
663,2978,3093
664,2984,3098
665,2988,3122
666,2994,3111
667,3000,3114
668,3007,3152
669,3014,3145
670,3037,3134
671,3026,3138
672,3042,3145
673,3034,3149
674,3039,3154
675,3048,3160
676,3050,3166
677,3071,3186
678,3066,3176
679,3069,3245
680,3071,3187
681,3079,3192
682,3085,3198
683,3091,3202
684,3101,3252
685,3124,3216
686,3147,3280
687,3119,3244
688,3177,3266
689,3160,3367
690,3177,3286
691,3170,3289
692,3187,3255
693,3153,3264
694,3162,3267
695,3190,3319
696,3172,3290
697,3177,3282
698,3188,3288
699,3196,3292
700,3207,3304
701,3210,3303
702,3209,3308
703,3217,3316
704,3220,3318
705,3230,3326
706,3232,3328
707,3236,3335
708,3244,3341
709,3260,3363
710,3271,3356
711,3264,3359
712,3278,3388
713,3298,3371
714,3288,3411
715,3295,3384
716,3290,3395
717,3323,3415
718,3314,3438
719,3333,3426
720,3342,3425
721,3325,3509
722,3350,3416
723,3332,3425
724,3338,3428
725,3342,3450
726,3397,3490
727,3360,3445
728,3383,3451
729,3379,3467
730,3387,3481
731,3417,3478
732,3388,3477
733,3397,3476
734,3402,3481
735,3426,3523
736,3425,3517
737,3418,3517
738,3433,3504
739,3460,3510
740,3434,3517
741,3443,3522
742,3449,3527
743,3455,3543
744,3490,3563
745,3467,3568
746,3519,3609
747,3562,3579
748,3496,3670
749,3496,3577
750,3508,3578
751,3526,3593
752,3524,3596
753,3522,3592
754,3527,3600
755,3534,3622
756,3539,3607
757,3547,3617
758,3552,3621
759,3560,3621
760,3564,3629
761,3573,3651
762,3601,3643
763,3587,3647
764,3595,3713
765,3598,3661
766,3608,3728
767,3615,3671
768,3619,3688
769,3624,3676
770,3632,3683
771,3747,3690
772,3669,3697
773,3645,3765
774,3649,3737
775,3663,3731
776,3678,3716
777,3665,3723
778,3696,3754
779,3679,3734
780,3754,3739
781,3690,3741
782,3782,3748
783,3700,3758
784,3706,3958
785,3712,3765
786,3717,3836
787,3719,3776
788,3730,3780
789,3730,3787
790,3734,3792
791,3743,3798
792,3746,3804
793,3764,3834
794,3760,3814
795,3768,3821
796,3901,3826
797,3781,3834
798,3820,3837
799,3794,3843
800,3858,3847
801,3808,3856
802,3876,3861
803,3814,3866
804,3821,3966
805,3827,3889
806,3826,3878
807,3836,3884
808,3843,3892
809,3847,3896
810,3853,3905
811,3878,3911
812,3936,3921
813,3879,3919
814,3886,3939
815,3898,3937
816,3892,3948
817,3900,3959
818,3903,3949
819,3909,3953
820,3932,3960
821,3928,3982
822,3935,3969
823,3936,3996
824,3938,3983
825,3946,3991
826,3962,4001
827,3983,4007
828,3975,4006
829,4006,4015
830,3983,4014
831,4083,4026
832,3998,4024
833,4076,4031
834,4025,4043
835,4028,4055
836,4053,4054
837,4048,4063
838,4041,4099
839,4054,4069
840,4042,4073
841,4046,4079
842,4109,4146
843,4104,4106
844,4072,4160
845,4082,4097
846,4080,4100
847,4084,4116
848,4088,4119
849,4116,4121
850,4109,4226
851,4116,4136
852,4122,4137
853,4123,4158
854,4133,4166
855,4134,4168
856,4162,4182
857,4162,4167
858,4152,4188
859,4231,4238
860,4200,4205
861,4174,4203
862,4183,4192
863,4217,4255
864,4246,4217
865,4203,4230
866,4230,4230
867,4272,4244
868,4262,4226
869,4230,4256
870,4263,4284
871,4248,4260
872,4266,4248
873,4258,4256
874,4299,4272
875,4269,4278
876,4274,4268
877,4279,4272
878,4370,4300
879,4321,4298
880,4300,4306
881,4311,4298
882,4346,4352
883,4319,4304
884,4327,4313
885,4334,4320
886,4369,4325
887,4347,4384
888,4405,4355
889,4372,4431
890,4378,4362
891,4387,4459
892,4383,4353
893,4463,4363
894,4403,4364
895,4417,4374
896,4430,4378
897,4420,4381
898,4420,4413
899,4426,4393
900,4432,4415
901,4444,4403
902,4446,4410
903,4461,4415
904,4458,4420
905,4460,4426
906,4471,4442
907,4476,4438
908,4481,4443
909,4489,4510
910,4496,4468
911,4505,4474
912,4510,4464
913,4515,4475
914,4516,4477
915,4545,4603
916,4591,4529
917,4578,4564
918,4578,4518
919,4683,4522
920,4621,4543
921,4603,4530
922,4591,4603
923,4606,4546
924,4600,4579
925,4634,4550
926,4618,4564
927,4626,4569
928,4641,4574
929,4677,4585
930,4656,4589
931,4655,4585
932,4649,4588
933,4659,4591
934,4735,4652
935,4713,4650
936,4715,4652
937,4686,4623
938,4701,4631
939,4724,4646
940,4723,4668
941,4713,4674
942,4727,4645
943,4819,4673
944,4749,4670
945,4765,4680
946,4758,4674
947,4761,4680
948,4778,4684
949,4791,4691
950,4778,4706
951,4781,4762
952,4819,4736
953,4816,4796
954,4820,4752
955,4804,4717
956,4887,4801
957,4861,4746
958,4859,4740
959,4952,4748
960,4865,4773
961,4905,4749
962,4867,4804
963,4906,4789
964,4861,4753
965,4870,4760
966,4874,4847
967,4943,4773
968,4951,4778
969,4918,4817
970,4904,4786
971,4909,4856
972,4936,4797
973,4989,4806
974,4936,4811
975,4969,4813
976,4942,4897
977,4952,4828
978,5024,4840
979,4966,4853
980,4969,4844
981,4990,4850
982,4987,4853
983,4999,4860
984,5011,4875
985,5014,4881
986,5019,4876
987,5020,4876
988,5028,4888
989,5035,4894
990,5042,4898
991,5074,4923
992,5060,4911
993,5064,4911
994,5070,4935
995,5082,4925
996,5119,4930
997,5094,4934
998,5102,4941
999,5105,4947
1000,5115,4952
