n,Find (Cache SIMD),Find (Cache SIMD Unrolled)
324,1135,995
325,1141,989
326,1138,990
327,1141,1010
328,1147,999
329,1163,1022
330,1163,1025
331,1169,1033
332,1173,1034
333,1177,1039
334,1182,1037
335,1182,1042
336,1189,1046
337,1209,1080
338,1211,1080
339,1216,1082
340,1221,1085
341,1218,1093
342,1225,1094
343,1230,1112
344,1231,1101
345,1252,1093
346,1256,1094
347,1258,1098
348,1264,1099
349,1269,1100
350,1269,1102
351,1277,1111
352,1277,1116
353,1302,1158
354,1306,1164
355,1310,1166
356,1313,1169
357,1318,1175
358,1322,1174
359,1329,1181
360,1325,1191
361,1347,1217
362,1349,1221
363,1351,1238
364,1358,1253
365,1379,1258
366,1365,1260
367,1368,1256
368,1371,1265
369,1396,1272
370,1401,1284
371,1414,1285
372,1407,1298
373,1410,1288
374,1417,1305
375,1419,1300
376,1422,1304
377,1451,1272
378,1445,1285
379,1447,1277
380,1458,1311
381,1462,1304
382,1462,1316
383,1472,1301
384,1473,1318
385,1499,1374
386,1502,1370
387,1502,1362
388,1509,1374
389,1515,1372
390,1517,1381
391,1524,1396
392,1525,1383
393,1546,1415
394,1557,1431
395,1559,1432
396,1563,1436
397,1579,1452
398,1570,1451
399,1580,1442
400,1586,1458
401,1610,1496
402,1616,1489
403,1620,1491
404,1620,1502
405,1623,1500
406,1626,1504
407,1633,1509
408,1635,1511
409,1664,1491
410,1669,1496
411,1671,1498
412,1677,1501
413,1686,1509
414,1690,1523
415,1690,1511
416,1694,1525
417,1723,1581
418,1726,1571
419,1736,1580
420,1740,1582
421,1743,1587
422,1749,1588
423,1747,1595
424,1756,1595
425,1786,1620
426,1789,1626
427,1790,1633
428,1795,1636
429,1802,1637
430,1805,1644
431,1810,1646
432,1815,1654
433,1861,1675
434,1851,1683
435,1854,1686
436,1863,1690
437,1863,1695
438,1871,1694
439,1873,1703
440,1875,1705
441,1902,1704
442,1908,1713
443,1913,1716
444,1917,1721
445,1921,1723
446,1924,1726
447,1933,1733
448,1934,1734
449,1965,1781
450,1968,1783
451,1972,1784
452,1979,1791
453,1980,1794
454,2001,1809
455,1988,1807
456,1994,1806
457,2021,1827
458,2024,1830
459,2013,1817
460,2017,1818
461,2020,1820
462,2026,1827
463,2030,1829
464,2033,1837
465,2064,1864
466,2067,1866
467,2073,1872
468,2079,1876
469,2081,1879
470,2084,1885
471,2089,1887
472,2093,1890
473,2122,1905
474,2125,1910
475,2133,1914
476,2137,1922
477,2159,1923
478,2156,1947
479,2162,1960
480,2175,1969
481,2072,1983
482,2190,1993
483,2190,1994
484,2081,1993
485,2088,1997
486,2203,2009
487,2212,2015
488,2104,2019
489,2129,2059
490,2245,2054
491,2248,2063
492,2141,2067
493,2148,2065
494,2254,2069
495,2263,2081
496,2158,2084
497,2185,2120
498,2301,2119
499,2305,2126
500,2201,2139
501,2202,2131
502,2311,2136
503,2314,2150
504,2221,2152
505,2247,2198
506,2363,2199
507,2366,2211
508,2254,2196
509,2263,2204
510,2372,2211
511,2377,2219
512,2273,2229
513,2301,2264
514,2427,2296
515,2427,2292
516,2309,2279
517,2319,2293
518,2444,2312
519,2444,2314
520,2327,2307
521,2368,2356
522,2489,2347
523,2493,2345
524,2372,2364
525,2380,2373
526,2507,2374
527,2513,2367
528,2390,2373
529,2428,2409
530,2570,2426
531,2576,2433
532,2439,2426
533,2441,2416
534,2590,2448
535,2593,2445
536,2465,2466
537,2492,2471
538,2631,2473
539,2644,2475
540,2508,2486
541,2514,2486
542,2640,2486
543,2656,2503
544,2541,2502
545,2544,2519
546,2696,2556
547,2694,2561
548,2562,2543
549,2563,2546
550,2709,2572
551,2715,2570
552,2580,2585
553,2632,2620
554,2761,2600
555,2766,2616
556,2625,2625
557,2632,2633
558,2773,2598
559,2779,2597
560,2640,2594
561,2677,2632
562,2829,2652
563,2813,2664
564,2695,2652
565,2692,2636
566,2839,2670
567,2848,2675
568,2708,2683
569,2740,2697
570,2908,2696
571,2895,2702
572,2758,2707
573,2766,2707
574,2918,2707
575,2922,2698
576,2778,2719
577,2811,2751
578,2978,2779
579,2981,2784
580,2827,2774
581,2837,2774
582,2992,2790
583,3002,2798
584,2844,2808
585,2876,2843
586,3049,2820
587,3051,2829
588,2895,2848
589,2899,2853
590,3063,2844
591,3066,2854
592,2913,2856
593,2949,2898
594,3128,2925
595,3128,2930
596,2968,2911
597,2967,2932
598,3139,2940
599,3140,2938
600,2976,2938
601,3009,2967
602,3186,2961
603,3192,2967
604,3025,2977
605,3030,2979
606,3200,2982
607,3209,2985
608,3043,2996
609,3088,3033
610,3267,3036
611,3259,3061
612,3086,3040
613,3089,3046
614,3266,3045
615,3273,3055
616,3105,3052
617,3147,3086
618,3320,3071
619,3327,3086
620,3158,3101
621,3180,3106
622,3339,3109
623,3346,3123
624,3176,3116
625,3215,3149
626,3423,3167
627,3421,3189
628,3253,3192
629,3249,3203
630,3421,3195
631,3419,3186
632,3266,3217
633,3275,3203
634,3455,3204
635,3466,3200
636,3331,3210
637,3332,3243
638,3507,3256
639,3536,3253
640,3337,3248
641,3382,3295
642,3571,3310
643,3576,3320
644,3403,3317
645,3406,3322
646,3579,3313
647,3581,3324
648,3418,3334
649,3448,3370
650,3643,3371
651,3647,3370
652,3451,3371
653,3457,3371
654,3643,3377
655,3656,3388
656,3486,3389
657,3522,3432
658,3713,3436
659,3686,3444
660,3535,3424
661,3540,3443
662,3727,3444
663,3741,3428
664,3563,3475
665,3603,3490
666,3757,3492
667,3775,3475
668,3611,3484
669,3610,3484
670,3784,3495
671,3770,3479
672,3602,3485
673,3638,3542
674,3837,3553
675,3852,3543
676,3657,3556
677,3662,3539
678,3843,3546
679,3850,3550
680,3680,3558
681,3718,3597
682,3919,3608
683,3913,3611
684,3736,3614
685,3741,3618
686,3921,3622
687,3926,3628
688,3759,3633
689,3797,3674
690,3984,3675
691,3993,3683
692,3811,3688
693,3816,3690
694,3998,3695
695,4003,3700
696,3884,3750
697,3913,3761
698,4085,3762
699,4138,3760
700,3936,3777
701,3941,3790
702,4129,3794
703,4131,3800
704,3966,3805
705,4001,3852
706,4195,3858
707,4200,3865
708,4020,3864
709,4023,3876
710,4209,3874
711,4231,3882
712,4034,3894
713,4086,3927
714,4279,3940
715,4281,3942
716,4067,3952
717,4064,3915
718,4256,3920
719,4254,3918
720,4082,3931
721,4120,3972
722,4312,3973
723,4369,4011
724,4138,4041
725,4177,3985
726,4342,3998
727,4371,4051
728,4208,4050
729,4248,4064
730,4452,4064
731,4443,4062
732,4247,4066
733,4222,4080
734,4420,4052
735,4437,4040
736,4284,4068
737,4313,4121
738,4528,4151
739,4520,4133
740,4343,4148
741,4347,4150
742,4536,4159
743,4532,4160
744,4351,4161
745,4394,4211
746,4607,4197
747,4614,4217
748,4438,4228
749,4443,4225
750,4618,4233
751,4619,4237
752,4438,4242
753,4477,4290
754,4677,4294
755,4691,4288
756,4499,4292
757,4508,4310
758,4709,4316
759,4711,4321
760,4523,4316
761,4571,4349
762,4774,4340
763,4785,4347
764,4586,4350
765,4589,4368
766,4788,4360
767,4804,4378
768,4597,4387
769,4652,4427
770,4871,4425
771,4862,4428
772,4645,4434
773,4670,4444
774,4894,4448
775,4881,4464
776,4687,4456
777,4726,4520
778,4959,4526
779,4954,4533
780,4752,4530
781,4744,4535
782,4966,4545
783,4963,4545
784,4772,4547
785,4814,4601
786,5055,4606
787,5041,4628
788,4826,4620
789,4830,4626
790,5064,4634
791,5074,4636
792,4863,4666
793,4916,4674
794,5131,4660
795,5149,4682
796,4917,4675
797,4924,4684
798,5141,4690
799,5160,4683
800,4938,4708
801,4984,4747
802,5238,4764
803,5243,4771
804,5014,4784
805,5012,4790
806,5226,4780
807,5239,4781
808,5031,4794
809,5075,4843
810,5300,4849
811,5337,4882
812,5102,4879
813,5114,4867
814,5324,4873
815,5322,4867
816,5122,4883
817,5174,4938
818,5420,4946
819,5397,4939
820,5177,4942
821,5188,4947
822,5422,4955
823,5424,4963
824,5195,4966
825,5250,5004
826,5500,5011
827,5505,5021
828,5257,5020
829,5274,5031
830,5514,5034
831,5520,5035
832,5296,5060
833,5334,5106
834,5591,5105
835,5598,5122
836,5349,5121
837,5385,5110
838,5630,5164
839,5640,5167
840,5399,5171
841,5452,5227
842,5729,5231
843,5744,5242
844,5476,5239
845,5476,5243
846,5761,5273
847,5764,5279
848,5495,5265
849,5548,5328
850,5809,5347
851,5812,5361
852,5566,5353
853,5569,5362
854,5811,5378
855,5816,5380
856,5585,5391
857,5658,5442
858,5898,5446
859,5901,5458
860,5665,5452
861,5665,5455
862,5909,5482
863,5917,5488
864,5694,5482
865,5732,5522
866,6005,5556
867,6010,5574
868,5755,5565
869,5763,5572
870,6012,5580
871,5953,5534
872,5725,5528
873,5832,5652
874,6091,5659
875,6103,5658
876,5853,5668
877,5857,5669
878,6112,5700
879,6116,5705
880,5877,5698
881,5945,5749
882,6209,5777
883,6196,5790
884,5937,5773
885,5946,5784
886,6196,5790
887,6205,5794
888,5969,5805
889,6015,5850
890,6285,5864
891,6294,5872
892,6035,5854
893,6049,5872
894,6308,5898
895,6310,5904
896,6062,5902
897,6115,5973
898,6394,5909
899,6404,5916
900,6139,5917
901,6143,5926
902,6405,5919
903,6417,5928
904,6167,5944
905,6218,6010
906,6494,5995
907,6503,6000
908,6239,6019
909,6248,6031
910,6518,6048
911,6522,6053
912,6273,6038
913,6323,6108
914,6606,6129
915,6623,6145
916,6344,6130
917,6343,6127
918,6619,6139
919,6624,6144
920,6358,6165
921,6418,6177
922,6705,6179
923,6707,6177
924,6427,6175
925,6446,6185
926,6731,6193
927,6735,6204
928,6474,6228
929,6518,6261
930,6819,6280
931,6830,6286
932,6562,6290
933,6560,6319
934,6821,6302
935,6836,6305
936,6563,6323
937,6631,6382
938,6918,6384
939,6927,6387
940,6630,6396
941,6634,6404
942,6942,6426
943,6950,6441
944,6679,6425
945,6730,6488
946,7025,6505
947,7048,6505
948,6744,6516
949,6754,6521
950,7045,6523
951,7053,6531
952,6783,6536
953,6833,6553
954,7142,6556
955,7145,6561
956,6857,6574
957,6861,6575
958,7159,6596
959,7167,6606
960,6885,6600
961,6930,6666
962,7258,6679
963,7269,6690
964,6963,6702
965,6967,6707
966,7272,6702
967,7271,6711
968,6990,6721
969,7049,6785
970,7365,6779
971,7362,6782
972,7071,6795
973,7083,6801
974,7379,6825
975,7384,6822
976,7103,6827
977,7151,6881
978,7458,6895
979,7472,6911
980,7172,6932
981,7174,6929
982,7481,6932
983,7497,6937
984,7206,6946
985,7261,6958
986,7576,6959
987,7596,6971
988,7276,6975
989,7299,6977
990,7587,6997
991,7604,7001
992,7298,7005
993,7356,7068
994,7694,7078
995,7712,7084
996,7399,7108
997,7412,7103
998,7695,7103
999,7702,7094
1000,7408,7115
