n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
385,15801,32389,12813,14479
386,15228,32570,12682,14485
387,15264,32750,12906,14509
388,15966,32821,12809,14565
389,16032,32964,12982,14600
390,15378,33160,12891,14645
391,15488,33330,13124,14699
392,16085,33517,12981,14751
393,16361,33652,13188,14810
394,15718,33806,12976,14848
395,15743,33989,13240,14972
396,16476,34095,13109,14968
397,16525,34353,13375,14939
398,15886,34478,13263,15006
399,15907,34616,13476,15072
400,16634,34758,13300,15115
401,16864,34976,13509,15183
402,16258,35094,13444,15149
403,16311,35245,13663,15210
404,17020,35388,13408,15297
405,17060,35535,13753,15343
406,16396,35773,13517,15450
407,16481,35862,13977,15567
408,17220,36073,13552,15470
409,17424,36203,13928,15452
410,16794,36400,13652,15539
411,16818,36543,13961,15616
412,17551,36751,13833,15650
413,17656,36927,14025,15711
414,16884,37048,13937,15722
415,16918,37243,14191,15739
416,17738,37386,14003,15833
417,18049,37546,14204,15879
418,17260,37693,14106,15921
419,17306,37950,14341,15937
420,18149,38074,14089,15955
421,18221,38264,14409,16050
422,17407,38457,14344,16103
423,17446,38582,14517,16117
424,18277,38659,14311,16179
425,18550,38968,14644,16214
426,17868,39106,14507,16218
427,17864,39308,14716,16245
428,18717,39378,14445,16301
429,18738,39604,14757,16385
430,18009,39800,14728,16379
431,18010,39973,14834,16434
432,18902,40096,14631,16535
433,19106,40330,14986,16538
434,18358,40528,14751,16585
435,18358,40653,15012,16648
436,19304,40792,14815,16729
437,19353,41022,15235,16671
438,18550,41180,14944,16793
439,18613,41345,15204,16831
440,19457,41494,15082,16872
441,19693,41717,15285,16877
442,18873,41851,15256,17191
443,18917,42079,15367,16940
444,19745,42187,15137,17039
445,19836,42444,15451,17116
446,19058,42573,15388,17125
447,19074,42812,15522,17169
448,19928,42963,15367,17283
449,20176,43097,15660,17239
450,19404,43331,15422,17286
451,19466,43460,15697,17341
452,20325,43629,15522,17391
453,20384,43873,15817,17403
454,19588,44013,15761,17481
455,19576,44173,15896,17507
456,20505,44411,15730,17549
457,20723,44589,15990,17627
458,19880,44690,15817,17681
459,19908,44884,16088,17696
460,20812,45129,15989,17748
461,20796,45293,16188,17792
462,20062,45501,16028,17814
463,20078,45657,16258,17902
464,21030,45907,16053,17871
465,21309,46064,16385,17979
466,20469,46238,16230,18010
467,20531,46417,16485,18086
468,21414,46610,16362,18110
469,21534,46731,16605,18126
470,20643,46989,16531,18189
471,20684,47137,16676,18172
472,21675,47355,16467,18279
473,21877,47577,16748,18318
474,20921,47727,16686,18327
475,21056,47902,16875,18413
476,22003,48073,16760,18398
477,22088,48308,16956,18459
478,21181,48496,16888,18495
479,21181,48621,17001,18558
480,22248,48848,16767,18645
481,22403,49016,17134,18656
482,21434,49220,16937,18744
483,21511,49481,17167,18738
484,22475,49591,17052,18799
485,22512,49793,17235,18866
486,21591,49970,17257,18841
487,21670,50189,17332,18955
488,22654,50408,17209,19014
489,23015,50620,17456,19011
490,22005,50770,17306,19038
491,22046,50937,17511,19145
492,23091,51110,17457,19109
493,23188,51401,17575,19221
494,22150,51570,17537,19234
495,22199,51770,17698,19290
496,23286,51985,17540,19389
497,23627,52199,17800,19410
498,22585,52430,17694,19436
499,22594,52565,17935,19439
500,23783,52822,17730,19481
