n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
305,9545,9793,10923,9119,9174
306,9669,10359,10821,9179,9211
307,9559,10387,10871,9235,9226
308,9715,9892,11084,9241,9264
309,9711,9921,11082,9279,9332
310,10006,10465,11057,9331,9366
311,9728,10490,11130,9356,9411
312,9903,10026,11248,9410,9491
313,9807,10228,11312,9460,9487
314,9974,10782,11256,9483,9504
315,9936,10814,11299,9495,9581
316,10108,10298,11457,9550,9576
317,9848,10332,11505,9576,9621
318,10118,10864,11486,9634,9723
319,9962,10907,11534,9659,9747
320,10259,10460,11689,9702,9759
321,10047,10609,11791,9723,9815
322,10381,11186,11749,9762,9894
323,10125,11216,11779,9819,9904
324,10299,10712,11897,9891,9922
325,10129,10738,12005,9922,9976
326,10411,11290,11922,9934,10000
327,10229,11339,12014,10008,10038
328,10486,10848,12153,9992,10073
329,10259,11020,12162,10017,10131
330,10595,11616,12136,10066,10184
331,10389,11665,12244,10088,10201
332,10800,11132,12346,10147,10204
333,10490,11143,12390,10211,10277
334,10682,11725,12399,10248,10307
335,10472,11763,12435,10287,10390
336,10711,11246,12565,10291,10380
337,10611,11448,12674,10343,10406
338,10801,12077,12626,10403,10425
339,10670,12128,12639,10430,10463
340,10871,11554,12792,10454,10528
341,10697,11592,12881,10489,10568
342,11041,12181,12821,10587,10595
343,10860,12215,12877,10602,10635
344,11148,11691,13113,10681,10651
345,10890,11962,13213,10707,10745
346,11274,12615,13148,10812,10830
347,10997,12645,13221,10843,10785
348,11131,12018,13358,10856,10842
349,10985,12021,13338,10860,10823
350,11255,12632,13328,10871,10846
351,11242,12714,13460,10895,10879
352,11316,12144,13547,11003,10914
353,11246,12312,13587,10963,10967
354,11344,12996,13546,11064,10955
355,11242,13007,13564,11052,10971
356,11473,12413,13779,11106,11044
357,11307,12484,13785,11180,11069
358,11598,13097,13750,11186,11111
359,11412,13178,13833,11255,11110
360,11641,12543,13948,11299,11150
361,11411,12767,14013,11336,11198
362,11667,13433,14008,11390,11216
363,11585,13464,14078,11395,11247
364,11758,12892,14256,11420,11327
365,11593,12887,14280,11463,11317
366,11902,13540,14210,11559,11326
367,11713,13571,14425,11565,11393
368,12191,13076,14587,11711,11480
369,11855,13271,14607,11761,11544
370,12140,14008,14542,11778,11571
371,11865,14004,14684,11914,11623
372,12188,13375,14776,11890,11607
373,11916,13412,14824,11925,11653
374,12192,14094,14772,11931,11665
375,12016,14137,14845,11986,11686
376,12202,13522,15028,12065,11747
377,12113,13699,15110,12158,11782
378,12223,14422,14908,12041,11705
379,12162,14404,15017,12067,11725
380,12360,13736,15187,12080,11763
381,12088,13770,15224,12120,11801
382,12417,14478,15206,12156,11864
383,12241,14508,15260,12200,11879
384,12451,13871,15405,12237,11883
385,12247,14169,15480,12283,11891
386,12456,14898,15441,12301,11952
387,12334,14953,15474,12327,12049
388,12572,14216,15642,12361,12041
389,12393,14238,15746,12397,12059
390,12627,15009,15652,12432,12098
391,12489,15060,15768,12492,12154
392,12796,14355,15922,12507,12159
393,12531,14626,15973,12554,12188
394,12832,15426,15884,12637,12243
395,12659,15460,15992,12636,12294
396,12873,14701,16125,12658,12328
397,12732,14778,16220,12698,12387
398,13036,15545,16175,12780,12410
399,12874,15557,16257,12808,12433
400,13004,14843,16378,12842,12472
401,12912,15103,16461,12912,12503
402,13009,15969,16431,12925,12514
403,12957,15975,16480,12968,12554
404,13192,15184,16643,13034,12647
405,13093,15251,16720,13024,12663
406,13258,16060,16689,13089,12681
407,13014,16130,16740,13128,12711
408,13306,15328,16892,13178,12761
409,13171,15602,16924,13228,12785
410,13425,16533,16901,13264,12824
411,13143,16561,17020,13271,12870
412,13393,15734,17188,13359,12889
413,13264,15760,17212,13437,12875
414,13682,16639,17215,13472,12947
415,13341,16645,17275,13498,12989
416,13644,15857,17404,13563,13025
417,13414,16111,17455,13533,13046
418,13818,17064,17431,13614,13075
419,13532,17172,17523,13663,13130
420,13741,16226,17666,13689,13148
421,13548,16242,17727,13766,13198
422,13878,17227,17705,13759,13204
423,13693,17301,17802,13816,13271
424,13840,16402,17963,13897,13236
425,13775,16633,17986,13897,13336
426,13965,17725,17979,13977,13350
427,13872,17798,18009,14031,13391
428,14070,16759,18229,14046,13399
429,13888,16786,18310,14064,13450
430,14090,17832,18269,14167,13499
431,13889,17888,18294,14196,13504
432,14275,16917,18442,14243,13505
433,13975,17219,18538,14310,13576
434,14267,18336,18533,14290,13598
435,14023,18380,18558,14363,13615
436,14270,17320,18754,14437,13688
437,14242,17330,18847,14475,13671
438,14423,18479,18814,14490,13742
439,14250,18507,18859,14540,13735
440,14460,17485,19032,14619,13783
441,14378,17787,19121,14682,13810
442,14588,18939,19073,14710,13824
443,14310,18948,19154,14690,13905
444,14835,17897,19302,14808,13870
445,14353,17944,19382,14834,13951
446,14699,19075,19367,14874,13964
447,14452,19126,19393,14919,13990
448,14838,18085,19613,14940,14045
449,14612,18421,19671,14997,14068
450,14836,19529,19613,15012,14138
451,14567,19548,19714,15083,14149
452,14913,18505,19861,15126,14155
453,14769,18557,19978,15196,14185
454,14965,19699,19908,15218,14263
455,14701,19713,20011,15238,14279
456,15066,18687,20200,15307,14287
457,14869,19012,20219,15339,14330
458,15289,20151,20196,15401,14325
459,14933,20209,20232,15438,14407
460,15191,19160,20501,15469,14437
461,15024,19204,20586,15511,14456
462,15249,20262,20563,15570,14482
463,15145,20330,20602,15604,14509
464,15373,19275,20794,15628,14606
465,15184,19576,20905,15694,14582
466,15403,20736,20860,15696,14660
467,15245,20788,20937,15804,14678
468,15462,19711,21135,15823,14709
469,15381,19766,21272,15874,14772
470,15441,20947,21214,15946,14766
471,15403,20954,21318,15988,14813
472,15677,19904,21515,16049,14832
473,15337,20149,21601,16057,14882
474,15706,21367,21540,16116,14914
475,15502,21387,21680,16153,14966
476,15730,20310,21894,16188,14954
477,15651,20376,21945,16204,14997
478,16034,21479,21970,16311,15037
479,15663,21537,22032,16348,15049
480,16150,20452,22260,16369,15101
481,15794,20727,22357,16439,15116
482,15974,21921,22295,16496,15198
483,15651,21935,22387,16530,15225
484,16017,20902,22630,16574,15243
485,15810,20904,22748,16603,15319
486,16047,22076,22649,16671,15353
487,15937,22087,22757,16695,15314
488,16217,21085,22981,16779,15335
489,16087,21259,23009,16778,15429
490,16269,22450,23014,16869,15414
491,16078,22473,23079,16882,15493
492,16420,21414,23313,16955,15545
493,16210,21427,23406,16950,15595
494,16412,22562,23406,17022,15608
495,16182,22578,23435,17028,15604
496,16500,21596,23662,17078,15632
497,16303,21764,23745,17157,15710
498,16674,23002,23697,17181,15727
499,16393,23058,23828,17239,15784
500,16550,21899,24038,17269,15813
