n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
332,513,1821,1551,1621,1467
333,514,1827,1560,1646,1473
334,516,1834,1564,1641,1479
335,518,1839,1569,1654,1483
336,520,1845,1575,1650,1489
337,522,1853,1579,1661,1495
338,524,1862,1582,1668,1500
339,526,1867,1589,1669,1506
340,528,1872,1594,1676,1511
341,530,1879,1598,1684,1516
342,532,1886,1603,1689,1522
343,534,1894,1608,1697,1526
344,536,1899,1611,1717,1531
345,538,1903,1617,1710,1537
346,540,1910,1622,1709,1547
347,542,1917,1627,1717,1549
348,544,1921,1632,1726,1552
349,546,1927,1637,1726,1557
350,549,1933,1640,1733,1562
351,550,1940,1644,1745,1567
352,552,1944,1650,1750,1573
353,554,1951,1656,1757,1576
354,556,1957,1660,1764,1583
355,557,1965,1665,1775,1589
356,560,1969,1670,1768,1593
357,562,1974,1674,1776,1599
358,564,1981,1681,1785,1604
359,566,1985,1683,1799,1608
360,568,1991,1687,1794,1614
361,569,1998,1692,1809,1619
362,571,2001,1699,1800,1624
363,573,2005,1704,1823,1629
364,575,2014,1710,1813,1634
365,577,2019,1718,1831,1640
366,579,2025,1721,1824,1646
367,582,2030,1723,1839,1653
368,583,2036,1730,1834,1653
369,585,2043,1732,1852,1660
370,587,2047,1738,1848,1664
371,589,2054,1742,1854,1670
372,591,2058,1747,1869,1675
373,593,2065,1753,1854,1679
374,594,2073,1757,1873,1684
375,597,2077,1762,1887,1690
376,598,2083,1765,1903,1693
377,600,2087,1772,1899,1700
378,602,2093,1777,1886,1703
379,604,2099,1781,1905,1709
380,607,2105,1786,1908,1714
381,608,2112,1793,1910,1718
382,610,2117,1796,1912,1724
383,612,2122,1801,1920,1728
384,614,2127,1806,1921,1733
385,616,2135,1813,1932,1738
386,619,2141,1819,1949,1744
387,620,2148,1828,1944,1750
388,622,2155,1833,1970,1756
389,624,2161,1837,1977,1762
390,626,2170,1843,1969,1771
391,628,2175,1848,1984,1773
392,630,2183,1855,1989,1779
393,632,2188,1861,1979,1785
394,635,2195,1867,1989,1792
395,636,2200,1872,2001,1797
396,638,2206,1877,1999,1802
397,641,2213,1882,2016,1809
398,642,2218,1886,2006,1814
399,644,2224,1892,2016,1820
400,646,2232,1895,2025,1825
401,648,2237,1903,2048,1831
402,650,2244,1906,2039,1837
403,652,2249,1912,2050,1843
404,654,2256,1914,2056,1848
405,656,2267,1919,2066,1855
406,658,2268,1924,2080,1860
407,661,2275,1928,2077,1865
408,663,2281,1934,2092,1871
409,665,2287,1941,2075,1876
410,667,2291,1943,2066,1881
