n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
595,31381,30807,30269,33295,33571,20477,21354,22448,21746,21745,21643,23192,24501,22749,22665
596,32608,31875,31621,34294,35162,20391,21226,22037,21730,21760,21596,23089,24258,22743,22477
597,32439,31788,31576,34337,35205,20347,21149,22242,21571,21660,21429,22947,24132,22559,22377
598,31582,30954,30502,33448,33927,20681,21386,22150,21867,21855,21740,23183,24598,22963,22430
599,31649,31072,30522,33566,33907,20624,21636,22665,21930,22043,21818,23431,24680,22939,23026
600,32809,32832,32040,34769,35788,20590,21525,22213,21812,22060,21812,23289,24740,22774,22490
601,33309,33046,32204,35023,36193,20916,21522,22743,21872,21892,21794,23274,24675,22990,22763
602,31990,31313,30670,33754,34060,20654,21490,22247,21875,21936,21832,23143,24617,22878,22523
603,31843,31226,30609,33769,33992,20552,21453,22494,21758,21862,21704,23258,24537,22842,22565
604,32918,32429,32264,34920,35929,20842,21474,22307,21806,21899,21837,23245,24497,23064,22447
605,33078,32569,32237,35032,35975,20681,21572,22568,21890,21973,21830,23325,24528,22762,22641
606,32038,31294,30788,33875,34383,20658,21562,22402,21901,22033,21814,23363,24593,22811,22616
607,32254,31438,30756,33885,34403,20725,21598,22578,21992,22026,21829,23405,24615,22910,22760
608,33521,33185,32432,35324,36336,20756,21681,22451,22048,22055,21869,23420,24690,22945,22710
609,33811,33523,32767,35657,36746,20948,21728,22778,22035,22137,21919,23750,24717,22999,22822
610,32685,31707,31233,34283,34900,20998,21684,22572,22048,22119,21930,23471,24761,23128,22814
611,32633,31766,31224,34315,34927,20799,21762,22768,22092,22155,21954,23533,24796,23169,22792
612,33688,33176,32830,35718,36707,20939,21784,22589,22120,22208,21993,23565,24838,23052,22994
613,33717,33242,32881,35817,36749,21097,21836,22890,22171,22251,22064,23612,24868,23346,22957
614,32784,31933,31362,34551,35150,21013,21852,22666,22221,22290,22086,23690,24916,23269,22948
615,32953,32004,31420,34565,35189,20985,21905,22935,22251,22327,22124,23693,25065,23158,23013
616,34201,33779,33112,36035,37171,21035,21940,22740,22288,22372,22182,23753,25017,23355,23010
617,34559,34177,33420,36409,37485,21067,22001,23001,22316,22405,22221,23806,25072,23363,23169
618,33346,32415,31852,34922,35605,21144,22009,22837,22386,22436,22286,23846,25110,23745,23085
619,33421,32470,31893,35060,35674,21141,22049,23112,22378,22482,22304,23915,25142,23556,23168
620,34437,33876,33526,36471,37386,21247,22089,22810,22478,22539,22346,23937,25176,23424,23186
621,34516,33938,33587,36518,37519,21241,22153,23191,22486,22564,22387,24011,25252,23436,23391
622,33592,32643,32084,35214,35865,21293,22163,22997,22520,22599,22436,24057,25308,23538,23407
623,33615,32661,32104,35308,35870,21315,22234,23248,22578,22637,22478,24061,25361,23492,23495
624,34950,34539,33791,36801,37852,21384,22255,22947,22616,22676,22509,24095,25378,23564,23598
625,35313,34840,34125,37059,38114,21406,22323,23351,22638,22719,22583,24150,25437,23604,23443
626,34007,33143,32496,35748,36283,21611,22326,23065,22701,22742,22632,24187,25453,23722,23665
627,34044,33178,32589,35693,36280,21498,22392,23457,22736,22807,22679,24247,25634,23928,23515
628,35154,34633,34240,37173,38108,21553,22425,23152,22746,22821,22712,24288,25560,23786,23556
629,35221,34733,34302,37221,38151,21551,22478,23541,22843,22875,22743,24358,25608,23949,23789
630,34192,33326,32759,35857,36495,21617,22481,23287,22853,22907,22816,24409,25668,23983,23854
631,34254,33420,32788,35950,36580,21651,22609,23595,22910,22961,22827,24419,25710,23892,23696
632,35683,35262,34521,37498,38578,21709,22597,23358,22924,22995,22886,24470,25734,24083,23801
633,36120,35637,34903,37850,38899,21716,22640,23725,22961,23043,22965,24533,25800,23987,23999
634,34754,33849,33258,36388,36869,21841,22658,23520,23014,23201,22948,24574,25878,24080,24005
635,34789,33904,33298,36468,37022,21854,22746,23762,23085,23115,23041,24667,25878,24304,23911
636,35918,35409,35003,37938,38840,21911,22751,23492,23091,23152,23055,24669,25948,24086,24092
637,35947,35431,35049,37967,38863,21903,22800,23867,23136,23179,23087,24680,26031,24222,24177
638,34961,34073,33448,36596,37193,21951,22834,23687,23177,23240,23114,24739,26030,24399,24154
639,35181,34102,33511,36763,37249,21985,22879,23939,23221,23285,23191,24801,26135,24368,24251
640,36478,35990,35258,38278,39291,22077,22934,23741,23276,23314,23237,24835,26141,24330,24198
641,36887,36416,35610,38555,39662,22041,23002,24018,23298,23333,23266,24905,26239,24504,24343
642,35526,34569,33927,37135,37641,22085,23020,23780,23331,23394,23342,24926,26192,24423,24306
643,35658,34653,34000,37192,37742,22113,23050,24136,23382,23427,23357,25019,26321,24452,24313
644,36702,36134,35713,38619,39592,22171,23079,23816,23400,23474,23396,25011,26338,24466,24446
645,36752,36206,35778,38744,39645,22209,23089,24204,23473,23503,23440,25073,26417,24540,24304
646,35792,34813,34151,37369,37951,22283,23152,24088,23461,23553,23508,25121,26433,24621,24426
647,35854,34834,34198,37472,37979,22270,23197,24176,23518,23591,23522,25157,26507,24685,24402
648,37245,36782,36005,38927,40095,22367,23226,24062,23570,23629,23587,25225,26538,24723,24514
649,37647,37154,36366,39322,40231,22327,23264,24355,23582,23660,23640,25253,26603,24753,24697
650,36278,35261,34650,37892,38323,22416,23290,24220,23632,23715,23678,25321,26632,24853,24594
651,36340,35359,34717,37957,38339,22411,23352,24467,23687,23730,23760,25348,26648,24794,24581
652,37491,36860,36465,39432,40175,22481,23379,24254,23726,23781,23758,25398,26703,25133,24847
653,37499,36906,36560,39546,40208,22554,23453,24530,23785,23803,23794,25453,26740,24903,24783
654,36470,35537,34868,38107,38499,22565,23430,24328,23823,23877,23833,25515,26777,24935,24864
655,36671,35567,34938,38230,38561,22580,23513,24655,23859,23919,23888,25546,26831,25065,25007
656,38062,37592,36742,39793,40658,22733,23568,24434,23842,23947,23958,25614,26895,25028,24901
657,38429,37926,37090,40028,41013,22641,23598,24702,23938,23981,23963,25641,26944,25183,25018
658,36994,35974,35352,38492,38941,22910,23601,24479,24039,24067,24021,25679,27019,25159,25011
659,36951,36132,35354,38561,39009,22729,23682,24834,23976,24063,24069,25743,27034,25301,24923
660,38207,37594,37155,40081,40922,22790,23691,24490,24020,24101,24143,25786,27070,25216,25033
661,38242,37697,37229,40175,40984,22806,23728,24867,24068,24130,24140,25810,27124,25396,25135
662,37227,36245,35519,38713,39188,23078,23736,24635,24103,24178,24220,25865,27198,25364,25081
663,37236,36308,35607,38859,39228,22959,23822,24999,24144,24231,24271,25921,27203,25351,25116
664,38768,38256,37419,40396,41382,22968,23846,24663,24170,24258,24290,25962,27275,25485,25388
665,39119,38614,37755,40672,41599,22999,23903,25016,24231,24292,24350,26025,27313,25437,25354
666,37722,36744,35997,39256,39545,23054,23900,24785,24273,24324,24353,26052,27333,25495,25271
667,37619,36684,36046,39180,39588,23077,23986,25146,24287,24370,24434,26108,27393,25713,25541
668,38944,38299,37813,40741,41584,23168,24057,24839,24370,24443,24480,26154,27470,25865,25449
669,39001,38357,37913,40828,41603,23235,24084,25200,24427,24465,24533,26203,27467,25629,25343
670,37922,37012,36247,39460,39768,23206,24096,24991,24470,24525,24556,26236,27539,25686,25554
671,38009,37036,36307,39411,39817,23242,24160,25321,24511,24538,24609,26316,27569,25800,25652
672,39492,39016,38150,41136,42034,23302,24195,25011,24546,24573,24627,26313,27631,25784,25600
673,39855,39305,38464,41329,42315,23372,24205,25420,24525,24617,24690,26372,27731,26000,25649
674,38403,37471,36789,39760,40186,23365,24251,25118,24599,24651,24724,26417,27753,25835,25850
675,38491,37500,36740,39849,40242,23405,24343,25482,24641,24685,24797,26479,27784,25896,25784
676,39680,39072,38571,41441,42253,23524,24338,25225,24701,24737,24824,26501,27801,26161,25891
677,39736,39139,38612,41453,42309,23476,24349,25568,24725,24771,24863,26553,27888,26103,25810
678,38643,37726,36906,39990,40397,23542,24399,25447,24747,24821,24938,26605,27935,26283,26027
679,38648,37698,36975,40039,40551,23603,24478,25656,24781,24852,24939,26657,28022,26139,25927
680,40288,39731,38836,41734,42742,23782,24480,25328,24847,24911,24998,26694,28019,26164,26057
681,40764,40151,39263,42124,42867,23718,24558,25712,24895,24967,25047,26773,28055,26179,25970
682,39195,38212,37421,40475,40711,23721,24580,25405,24930,24986,25086,26795,28125,26238,26259
683,39271,38227,37474,40584,40865,23778,24640,25804,24961,25000,25159,26860,28142,26288,26144
684,40482,39836,39337,42151,42853,23849,24680,25547,25015,25064,25210,26885,28200,26424,26064
685,40566,39899,39377,42243,42894,23893,24751,25910,25079,25108,25232,26944,28246,26646,26265
686,39415,38410,37654,40764,41014,23974,24742,25734,25076,25129,25263,26954,28276,26571,26292
687,39557,38478,37727,40815,41059,24033,24835,25972,25146,25182,25295,27018,28384,26734,26408
688,41069,40533,39656,42555,43367,23986,24855,25714,25193,25226,25356,27078,28382,26571,26590
689,41482,40914,40103,42929,43657,24061,24899,26090,25214,25265,25398,27120,28414,27196,26638
690,39988,38971,38165,41339,41549,24088,24924,25807,25282,25314,25452,27161,28499,26626,26424
691,40047,38998,38212,41383,41573,24215,24969,26214,25327,25357,25477,27190,28561,26796,26355
692,41247,40640,40072,43019,43522,24374,25016,25753,25348,25405,25526,27233,28550,26679,26555
693,41328,40738,40187,43076,43707,24259,25050,25958,25379,25435,25569,27289,28634,26785,26500
694,40155,39119,38366,41660,41755,24339,25109,25976,25413,25473,25614,27340,28667,26974,26606
695,40248,39192,38468,41635,41867,24398,25168,26309,25480,25527,25676,27372,28735,26841,26610
696,41865,41349,40412,43419,44140,24353,25214,25989,25515,25552,25717,27419,28759,26874,26882
697,42265,41722,40773,43764,44527,24424,25250,26429,25552,25592,25731,27527,28787,27159,26646
698,40748,39692,38896,42061,42348,24437,25299,26143,25610,25625,25828,27535,28862,27152,26818
699,40855,39690,38954,42245,42426,24440,25343,26404,25656,25666,25804,27559,28905,27093,26924
700,42124,41422,40884,43866,44491,24552,25393,26145,25692,25704,25850,27620,28986,27047,27017
701,42140,41503,40981,43929,44551,24634,25427,26504,25749,25734,25926,27658,29025,27135,27019
702,41078,39936,39131,42311,42613,24606,25416,26314,25775,25781,25959,27699,29063,27144,26861
703,41240,39911,39209,42435,42654,24825,25492,26602,25811,25828,26019,27730,29086,27375,26906
704,42706,42146,41211,44252,44989,24683,25524,26315,25855,25864,26042,27779,29121,27272,27097
705,43074,42483,41544,44592,45468,24726,25574,26697,25907,25897,26097,27832,29191,27329,26985
706,41525,40377,39634,42937,43180,24785,25598,26484,25956,25940,26132,27904,29231,27332,27049
707,41543,40411,39673,43007,43208,24791,25693,26783,25984,25985,26156,27933,29307,27470,27115
708,42879,42219,41640,44654,45381,24874,25712,26479,26039,26030,26256,27979,29314,27683,27224
709,42943,42306,41718,44776,45460,24887,25773,26874,26058,26093,26254,28080,29356,27571,27464
710,41562,40647,39881,43238,43536,24957,25733,26662,26088,26117,26345,28051,29408,27550,27291
711,41860,40653,39954,43275,43513,25023,25810,26921,26130,26165,26347,28099,29458,27820,27347
712,43537,42920,41938,45040,45912,25056,25859,26673,26183,26197,26428,28161,29549,27797,27409
713,43939,43334,42365,45484,46371,25062,25898,27034,26240,26226,26463,28253,29576,27648,27624
714,42323,41154,40394,43804,44068,25156,25913,26808,26247,26262,26483,28254,29592,27690,27399
715,42295,41194,40473,43828,44121,25179,25982,27116,26318,26294,26580,28287,29639,27858,27445
716,43758,43052,42487,45585,46268,25223,26052,26906,26352,26360,26585,28324,29717,27933,27670
717,43772,43076,42551,45640,46527,25219,26080,27206,26420,26400,26623,28372,29792,27883,27637
718,42515,41311,40636,44058,44355,25263,26063,27122,26440,26434,26683,28446,29828,28142,27636
719,42588,41442,40644,44122,44402,25380,26141,27342,26486,26497,26743,28488,29873,28022,27650
720,44347,43763,42823,45970,46803,25383,26209,27017,26526,26543,26762,28548,29922,27996,27734
721,44719,44175,43191,46364,47124,25424,26235,27352,26531,26551,26825,28584,29930,28170,27820
722,43185,41888,41126,44593,44885,25462,26260,27118,26607,26619,26878,28644,30001,28211,27885
723,43224,41966,41211,44771,44966,25528,26337,27277,26658,26640,26954,28698,30069,28340,27834
724,44549,43916,43248,46428,47157,25560,26379,27126,26754,26701,26931,28699,30125,28339,27890
725,44608,43923,43310,46554,47210,25639,26384,27525,26723,26717,27002,28742,30121,28233,28084
726,43344,42118,41394,44964,45110,25698,26436,27333,26807,26768,27064,28803,30189,28546,28223
727,43438,42219,41440,44927,45202,25662,26512,27642,26854,26809,27096,28846,30244,28330,28170
728,45178,44612,43623,46810,47649,25738,26557,27337,26895,26846,27166,28895,30359,28523,28229
729,45567,45041,44066,47224,48069,25745,26588,27773,26886,26901,27208,28965,30372,28666,28345
730,43948,42654,41917,45461,45704,25844,26608,27479,26934,26949,27188,28961,30375,28612,28182
731,44033,42730,42008,45617,45780,26006,26801,27793,26971,26991,27257,29021,30385,28624,28422
732,45406,44736,44173,47352,47982,25920,26726,27474,27075,27036,27340,29083,30524,28564,28337
733,45453,44787,44185,47406,48064,26094,26786,27858,27080,27073,27322,29118,30540,28800,28513
734,44249,42887,42144,45722,45962,26027,26776,27636,27121,27112,27393,29190,30576,28778,28348
735,44233,42962,42210,45767,46045,26100,26868,27803,27181,27137,27421,29208,30662,28866,28361
736,46311,46119,44479,48116,48912,26101,27122,27711,27443,27552,27476,29698,30654,28751,29101
737,46456,45905,45135,48159,48958,26628,26891,28450,27253,27217,27503,29315,30715,29171,28652
738,45078,43490,42626,46425,46711,26282,27177,28081,27564,27523,27591,29349,30766,29165,28480
739,44872,43485,42697,46370,46666,26280,27026,28009,27328,27298,27604,29431,30780,29136,28676
740,46193,45554,44942,48235,49304,26292,27045,27746,27383,27336,27660,29452,30888,28910,28819
741,46338,46218,45658,48434,48963,26731,27147,28609,27401,27383,28166,29610,31474,29500,29027
742,45048,43720,42967,46540,46795,26462,27137,27973,27519,27450,27785,29532,30958,29029,28794
743,45048,44247,43084,46676,46874,26630,27170,28455,27568,27516,27789,29566,30989,29234,28864
744,46840,46491,45326,48573,49596,26788,27220,28159,27554,27501,27800,29617,31023,29143,29019
745,47281,46919,45952,49097,49820,26485,27297,28464,27633,27576,27888,29734,31113,29394,28964
746,45565,44217,44007,47229,47529,26660,27347,28530,27644,27617,27964,29740,31205,29664,29080
747,45654,44279,43522,47243,47534,26552,27383,28467,27705,27643,27954,29776,31207,29324,29134
748,47050,46468,45856,49104,49853,26648,27410,28140,27959,27951,27994,29815,31227,29445,29032
749,47144,46547,45968,49218,49934,26676,27474,28509,27834,27753,28069,29885,31281,29490,29104
750,45863,44506,43760,47498,47693,26741,27532,28353,27820,27801,28134,29937,31373,29531,29175
751,46003,44610,43798,47604,47774,26815,27591,28576,27891,27801,28138,29988,31342,29652,29271
752,47850,47275,46223,49593,51154,26883,27599,28281,28363,28261,28212,30008,31482,29544,29156
753,48182,47699,47277,50865,50849,27349,27813,28987,28170,27923,28343,30574,31496,30123,29454
754,46527,45020,44233,48171,48491,26927,27646,28320,28091,28217,28250,30080,31482,29752,29393
755,46621,45209,44432,48431,48525,27168,27828,28870,28304,28070,28563,30249,31699,29724,29675
756,47979,47536,47047,50396,51136,27153,27884,28518,28220,28082,28491,30299,31722,30076,29535
757,48402,47639,46903,50414,50769,27118,27875,28996,28295,28164,28392,30407,31715,29863,29597
758,46715,45354,44628,48491,48631,27341,27854,28682,28218,28148,28562,30263,31768,29860,29550
759,46971,45451,44669,48523,48851,27206,27976,29166,28293,28237,28606,30350,31812,30028,29517
760,48746,48469,47179,50550,51665,27283,28078,28636,28541,28448,28570,30477,31843,30058,30010
761,49157,48768,47612,51108,51818,27584,28059,29000,28431,28306,28708,30448,31906,30091,29640
762,47448,46097,45180,49041,49266,27599,28145,28786,28466,28345,28710,30488,31975,30020,29771
763,47538,46041,45219,49223,49415,27480,28109,29105,28446,28404,28791,30516,32032,30102,29855
764,49776,48488,47733,51301,52573,27526,28756,28868,29102,28932,28787,30754,32309,30316,30031
765,49028,48868,47885,51162,51829,27441,28202,29146,28685,28484,28846,30584,32160,30088,30246
766,48305,46238,45454,50375,49516,27704,28749,28985,28586,28504,28832,31034,32115,30294,29974
767,47548,46235,45370,49330,49552,27568,28383,29294,28596,28474,28833,30661,32074,30200,29887
768,50402,49894,48307,52516,52498,27597,28838,29141,28629,28686,28893,31847,33234,30513,31230
769,49964,49453,48334,51803,52505,27550,28285,29216,28714,28608,28916,30780,32183,30428,29903
770,48436,47094,45945,50188,50372,27701,28652,29028,28880,28843,29250,31014,32481,30354,30186
771,48468,46778,45938,49937,50320,27618,28373,29527,28994,28821,29067,30862,32523,30856,30022
772,50102,49574,48976,52339,52693,27853,28638,29069,28997,28984,29241,31091,32614,30655,30328
773,50078,49834,48852,52088,52582,27904,28546,29602,28844,28742,29276,31337,32655,30775,30433
774,48508,46941,46481,50222,50323,27824,28538,29491,28885,28815,29283,30997,32467,31033,30197
775,48510,46979,46192,50195,50390,27791,28566,29570,28920,28791,29229,31056,32572,30718,30549
776,50394,49883,48802,52323,53176,27824,28589,29206,28974,28904,29264,31105,32590,30737,30364
777,50799,50372,49270,52860,53604,27891,28643,29660,29007,28942,29299,31137,32603,30778,30298
778,48992,47531,46668,50806,51025,27898,28692,29387,29052,28969,29336,31163,32717,30964,30446
779,49102,47575,46756,50835,51119,27938,28732,29719,29107,28982,29385,31228,32746,30699,30727
780,50607,50043,49364,52884,53600,28117,28786,29565,29096,29041,29402,31272,32780,31005,30456
781,50646,50127,49425,52949,53657,28102,28800,29875,29148,29077,29487,31309,32810,30812,30506
782,49160,47774,46921,51033,51342,28397,28853,29636,29205,29154,29490,31356,32868,30994,30606
783,49352,47813,46960,51122,51349,28281,28894,29890,29240,29159,29507,31408,32900,31388,30768
784,51273,50810,49684,53327,54140,28250,28939,29652,29301,29230,29610,31455,32948,30984,30747
785,51708,51259,50129,53740,54655,28185,28953,29603,29325,29239,29671,31467,33038,31031,30792
786,49864,48376,47500,51700,51998,28369,29033,29778,29352,29290,29698,31514,33022,31042,30911
787,49852,48438,47572,51829,51988,28250,29083,30091,29370,29310,29711,31621,33088,31246,30880
788,51468,50918,50214,53841,54571,28327,29063,29722,29417,29360,29729,31661,33135,31275,30765
789,51594,50998,50277,53937,54672,28377,29156,30243,29473,29390,29785,31715,33403,31212,30970
790,50198,48619,47711,52017,52288,28417,29205,29898,29537,29492,29840,31747,33284,31308,30907
791,50168,48617,47757,51981,52338,28453,29214,30345,29538,29495,29930,31771,33334,31352,31022
792,52195,51708,50578,54278,55161,28523,29258,30008,29607,29538,29949,31787,33300,31324,31093
793,52651,52222,51069,54759,55518,28526,29319,30418,29615,29567,29980,31905,33366,31363,31184
794,50726,49196,48356,52575,52845,28614,29354,30191,29677,29632,30037,31938,33408,31448,31080
795,50713,49340,48398,52642,52906,28646,29367,30510,29689,29660,30079,31952,33462,31466,31174
796,52414,51823,51143,54824,55507,28718,29411,30164,29779,29697,30133,31990,33532,31684,31309
797,52465,51952,51245,54849,55630,28956,29494,30625,29814,29769,30203,32055,33599,31731,31417
798,51028,49423,48554,52799,53103,28744,29457,30280,29808,29781,30226,32108,33681,31602,31459
799,51100,49500,48657,52902,53156,28786,29550,30668,29871,29837,30244,32150,33639,31752,31579
800,53105,52656,51488,55225,56066,28824,29600,30365,29956,29894,30348,32170,33699,31780,31647
801,53539,53186,51908,55651,56558,29097,29631,30736,29955,29920,30360,32228,33751,31842,31544
802,51569,50000,49144,53526,53778,28927,29684,30501,30006,29963,30381,32293,33817,31801,31512
803,51617,50105,49236,53581,53818,28988,29736,30853,30044,29988,30401,32333,33853,32025,31595
804,53272,52768,52019,55835,56516,29032,29734,30488,30123,30066,30439,32377,33903,31897,31815
805,53341,52843,52058,55837,56608,29040,29790,30961,30117,30094,30522,32403,33927,31979,31622
806,51841,50331,49385,53793,54073,29116,29828,30683,30182,30138,30531,32480,34007,32015,31830
807,51952,50463,49423,53910,54105,29158,29902,31095,30185,30193,30588,32478,34043,32007,31959
808,54044,53565,52394,56143,57033,29145,29902,30717,30291,30223,30626,32490,34090,32307,31877
809,54461,54023,52854,56638,57516,29174,29921,31158,30318,30257,30663,32564,34131,32074,31716
810,52516,50878,49993,54418,54734,29290,29995,30945,30347,30346,30718,32632,34255,32110,31881
811,52604,50928,50070,54514,54773,29303,30036,31271,30412,30368,30784,32634,34288,32291,31953
812,54280,53661,52992,56712,57469,29365,30115,30954,30460,30405,30856,32705,34288,32444,31972
813,54267,53761,53117,56869,57605,29405,30092,31305,30459,30424,30862,32739,34350,32420,32236
814,52773,51190,50305,54741,54980,29405,30172,31103,30494,30476,30914,32781,34391,32395,32083
815,52791,51215,50326,54769,55022,29477,30183,31450,30545,30479,30963,32876,34436,32481,32229
816,54910,54470,53272,57147,58073,29740,30232,31101,30600,30572,30973,32863,34524,32478,32234
817,55363,54935,53726,57643,58549,29620,30283,31558,30626,30597,31025,32910,34539,32662,32140
818,53325,51731,50812,55401,55672,29730,30333,31199,30675,30633,31069,33018,34589,32631,32178
819,53437,51857,50893,55540,55714,29660,30408,31645,30695,30685,31119,33080,34769,32701,32221
820,55146,54625,53805,57781,58533,29682,30401,31260,30759,30733,31176,33074,34652,32593,32376
821,55245,54713,53888,57833,58586,29697,30471,31689,30821,30771,31209,33130,34701,32762,32315
822,53605,51959,51021,55544,55911,29789,30483,31463,30902,30827,31277,33218,34757,32713,32334
823,53732,52083,51113,55725,55960,29860,30553,31823,30924,30880,31284,33212,34844,32805,32595
824,55874,55368,54178,58112,59049,29857,30558,31385,30948,31004,31358,33248,34884,32976,32460
825,56347,55827,54674,58738,59493,29881,30633,31901,30973,30945,31356,33325,34948,32852,32519
826,54214,52606,51675,56319,56498,29928,30650,31565,31006,30992,31456,33339,34969,32911,32594
827,54270,52620,51704,56382,56523,30086,30678,31934,31060,31008,31487,33348,34975,33129,32569
828,56045,55486,54749,58684,59469,30027,30716,31644,31147,31088,31511,33423,35042,33127,32591
829,56161,55548,54845,58820,59584,30060,30819,32075,31172,31140,31556,33451,35139,33033,32717
830,54582,52858,51946,56556,56771,30193,30784,31860,31217,31171,31695,33534,35190,33215,32981
831,54599,52916,51995,56671,56877,30157,30880,32119,31280,31217,31598,33548,35241,33171,32735
832,56784,56312,55097,59075,59966,30345,30871,31846,31281,31250,31695,33596,35266,33135,32836
833,57288,56746,55497,59668,60644,30308,30992,32232,31314,31277,31788,33612,35404,33316,32825
834,55220,53472,52501,57262,57626,30409,30999,31937,31355,31318,31746,33663,35342,33393,32986
835,55335,53598,52617,57407,57689,30348,31054,32322,31378,31369,31930,33728,35404,33351,33057
836,57051,56459,55684,59824,60617,30396,31110,32029,31454,31450,31930,33835,35410,33312,33151
837,57123,56525,55727,59929,60714,30510,31135,32437,31477,31458,31893,33878,35483,33452,33228
838,55439,53727,52809,57673,57901,30629,31170,32163,31535,31546,31970,33878,35592,33598,33223
839,55657,53767,52848,57670,57923,30496,31201,32520,31552,31554,31997,33917,35572,33565,33218
840,57762,57277,56038,60156,61236,30572,31271,32104,31641,31615,32063,33947,35649,33676,33182
841,58182,57750,56580,60837,61541,30604,31259,32616,31617,31616,32092,33976,35717,33654,33452
842,56246,54362,53448,58301,58441,30666,31336,32289,31730,31660,32221,34083,35739,33807,33527
843,56218,54475,53528,58319,58577,30657,31351,32629,31686,31716,32166,34086,35773,33882,33442
844,58049,57476,56693,60787,61528,30783,31411,32449,31815,31828,32253,34125,35828,33966,33652
845,58134,57476,56752,60828,61569,30940,31459,32833,31836,31821,32324,34178,35920,33850,33406
846,56431,54666,53737,58635,58726,30849,31483,32622,31858,31843,32355,34225,35905,33795,33497
847,56514,54741,53818,58716,58834,30907,31550,32935,31974,31929,32353,34299,35966,34088,33784
848,58740,58232,57049,61190,62116,30968,31588,32548,32001,31936,32531,34308,36046,34050,33612
849,59241,58745,57478,61558,62657,30975,31603,32956,32012,31982,32469,34370,36116,34207,33688
850,57072,55282,54315,59193,59484,30975,31667,32746,32051,32035,32567,34415,36117,34136,33637
851,57121,55386,54412,59461,59572,31004,31763,33052,32118,32078,32524,34540,36154,34208,33726
852,58973,58372,57556,61903,62539,31150,31760,32638,32180,32143,32549,34471,36206,34193,33850
853,59020,58426,57659,61820,62650,31100,31799,33117,32197,32173,32620,34525,36253,34198,33848
854,57254,55527,54616,59462,59759,31151,31820,32855,32241,32215,32669,34585,36278,34272,33821
855,57634,55568,54657,59619,59872,31237,31909,33173,32298,32286,32748,34664,36335,34349,33982
856,59696,59221,57954,62205,63229,31295,31941,32888,32305,32300,32727,34710,36503,34375,33925
857,60192,59700,58462,62773,63845,31284,31990,33318,32362,32353,32799,34763,36439,34437,33978
858,58009,56245,55205,60294,60539,31359,32037,33048,32428,32409,32798,34801,36547,34348,34072
859,58189,56315,55317,60363,60661,31408,32054,33383,32479,32445,32954,34838,36662,34392,34168
860,60010,59363,58593,62874,63709,31513,32178,33108,32519,32540,32948,34890,36608,34530,34186
861,60001,59457,58680,62905,63766,31556,32149,33527,32539,32516,33031,34961,36827,34646,34247
862,58288,56512,55504,60519,60860,31519,32174,33252,32635,32614,32987,34979,36666,34820,34289
863,58330,56505,55578,60644,60946,31595,32237,33562,32657,32664,33050,35004,37040,34782,34242
864,60710,60150,58888,63266,64264,31636,32310,33318,32702,32654,33119,35097,36856,34910,34305
865,61219,60630,59347,63721,64704,31656,32390,33704,32715,32735,33144,35097,36892,34985,34337
866,58996,57113,56111,61273,61407,31749,32408,33395,32836,32768,33186,35104,36899,34755,34400
867,59155,57147,56130,61369,61567,31833,32455,33716,32891,32849,33229,35284,36963,34873,34550
868,60930,60341,59490,63981,64636,31823,32468,33410,32875,32880,33282,35233,36982,35100,34446
869,61051,60364,59535,63936,64796,31892,32535,33828,32931,32948,33314,35300,37019,34999,34500
870,59415,57420,56400,61549,61701,31925,32533,33601,32987,32955,33395,35326,37123,34968,34944
871,59314,57465,56442,61649,61804,31928,32577,33937,33010,33017,33435,35398,37139,35067,34638
872,61659,61100,59836,64259,65267,32004,32648,33570,33074,33042,33526,35351,37242,35162,34765
873,62199,61688,60382,64817,65901,32038,32700,33986,33122,33087,33465,35466,37206,35104,34939
874,59912,58007,57057,62261,62412,32123,32729,33768,33111,33160,33568,35487,37293,35279,34848
875,60021,58069,57187,62357,62521,32208,32808,34117,33246,33186,33587,35565,37368,35241,35057
876,61964,61325,60512,64966,65785,32179,32869,33891,33274,33267,33658,35634,37454,35352,34865
877,62047,61388,60601,65031,65852,32229,32904,34205,33329,33324,33705,35728,37451,35477,35045
878,60312,58365,57301,62600,62750,32481,32896,34025,33308,33342,33798,35682,37490,35311,35072
879,60327,58362,57393,62659,62829,32331,32964,34227,33416,33387,33778,35743,37614,35771,35177
880,62718,62163,60871,65376,66383,32408,33025,34040,33474,33467,33857,35852,37633,35563,35135
881,63192,62642,61316,65892,66925,32602,33063,34358,33455,33455,33910,35860,37604,35547,35083
882,61003,58965,57934,63342,63484,32457,33094,34029,33497,33531,33850,35872,37697,35529,35146
883,60982,59064,58021,63426,63600,32516,33163,34419,33594,33604,33959,35935,37729,35595,35374
884,62982,62288,61425,65984,66841,32586,33187,34067,33633,33638,34093,35919,37959,35694,35405
885,63004,62349,61528,66065,66878,32660,33239,34485,33671,33645,34054,36088,37868,35659,35449
886,61161,59234,58255,63562,63791,32815,33232,34291,33724,33705,34146,36050,37842,35790,35404
887,61414,59326,58271,63677,63897,32738,33340,34600,33799,33793,34129,36181,37959,35812,35411
888,63722,63146,61781,66431,67443,32813,33390,34307,33803,33792,34190,36172,37993,35747,35443
