n,Baseline (copy+sort),Find SIMD,Heap Cache,Tournament Tree
348,81,114,129,148
349,80,115,129,149
350,82,115,130,149
351,80,115,130,150
352,82,116,131,150
353,81,118,131,151
354,83,119,131,151
355,82,119,132,152
356,84,119,132,152
357,82,119,133,153
358,84,119,133,153
359,83,120,134,153
360,84,121,134,154
361,83,122,134,154
362,84,123,135,155
363,84,123,135,155
364,85,123,136,156
365,84,123,136,157
366,86,124,137,157
367,85,124,137,157
368,86,125,138,158
369,85,127,138,159
370,87,127,139,159
371,85,127,139,160
372,88,128,140,160
373,86,128,140,160
374,87,128,140,161
375,87,129,141,162
376,89,129,141,162
377,87,131,141,162
378,89,131,142,163
379,87,132,143,164
380,89,133,143,164
381,88,133,143,164
382,91,134,144,165
383,88,134,144,166
384,90,134,145,166
385,89,135,145,167
386,90,135,146,167
387,89,136,146,168
388,91,136,146,168
389,90,137,147,168
390,91,137,148,169
391,90,137,148,169
392,92,138,148,170
393,91,141,149,171
394,93,142,149,171
395,91,141,149,171
396,93,142,150,172
397,91,142,150,172
398,94,143,151,173
399,92,143,151,174
400,93,143,152,174
401,92,145,152,175
402,95,145,153,175
403,93,147,153,176
404,95,147,153,176
405,94,146,154,177
406,95,147,154,177
407,94,147,155,177
408,96,148,155,178
409,95,150,155,179
410,97,150,156,179
411,95,151,156,180
412,98,151,157,180
413,96,152,157,181
414,98,152,158,181
415,96,152,158,181
416,98,152,159,182
417,97,155,159,182
418,100,155,160,183
419,97,155,160,184
420,99,156,161,184
421,97,156,161,184
422,100,156,161,185
423,98,157,162,185
424,100,157,162,186
425,98,160,163,186
426,101,160,163,187
427,99,161,164,188
428,101,161,164,188
429,99,161,164,189
430,101,162,165,189
431,100,162,165,190
432,102,162,166,190
433,100,165,166,190
434,104,165,167,191
435,102,166,167,191
436,103,166,168,192
437,102,167,168,193
438,104,167,169,193
439,101,167,169,193
440,104,167,170,194
441,103,170,170,195
442,104,171,171,195
443,104,171,171,195
444,104,172,171,196
445,104,172,172,197
446,105,173,172,197
447,104,173,173,198
448,106,173,173,198
449,105,174,174,199
450,106,175,174,199
451,105,175,174,200
452,107,175,175,200
453,105,176,175,201
454,109,176,176,201
455,106,177,176,202
456,107,177,177,202
457,106,180,177,203
458,109,181,178,203
459,107,182,178,204
460,108,182,179,204
461,107,182,179,204
462,109,183,180,205
463,108,183,180,205
464,110,183,181,206
465,108,186,181,206
466,111,186,182,207
467,109,186,182,207
468,111,187,182,208
469,109,187,183,209
470,113,188,183,209
471,109,188,183,209
472,111,188,184,210
473,110,191,184,211
474,112,191,185,211
475,110,192,186,212
476,115,193,186,212
477,113,192,186,213
478,113,193,187,213
479,112,194,187,214
480,114,194,188,214
481,113,196,188,215
482,114,197,189,215
483,113,197,189,216
484,114,198,190,216
485,113,198,190,216
486,115,198,191,217
487,114,199,191,218
488,116,200,191,218
489,115,203,192,219
490,116,203,193,219
491,115,203,193,219
492,117,203,194,220
493,115,205,194,221
494,117,204,194,221
495,115,205,195,222
496,119,205,195,222
497,116,208,195,223
498,118,209,196,223
499,116,209,196,224
500,121,209,197,224
501,117,210,197,224
502,120,210,198,225
503,117,211,198,226
504,119,211,199,226
505,118,214,199,227
506,121,215,200,227
507,118,215,200,228
508,121,215,201,228
509,119,217,201,229
510,121,217,202,229
511,119,217,202,230
512,122,218,203,230
513,120,219,203,231
514,123,220,203,231
515,120,219,204,232
516,122,220,204,232
517,121,220,205,233
518,123,220,205,233
519,122,221,206,234
520,125,221,206,235
521,121,226,206,235
522,126,227,207,236
523,123,227,208,236
524,125,228,208,236
525,123,227,208,237
526,125,228,209,237
527,123,228,209,238
528,126,229,210,239
529,123,231,210,239
530,126,231,211,240
531,124,232,211,241
532,126,233,212,241
533,124,233,212,241
534,126,234,213,242
535,125,233,213,243
536,128,234,214,243
537,126,237,214,244
538,128,237,214,244
539,126,238,215,245
540,129,238,216,245
541,126,239,215,246
542,129,240,216,246
543,127,240,216,247
544,130,241,217,247
545,128,243,217,248
546,130,244,218,248
547,128,244,218,249
548,131,245,219,250
549,128,245,219,250
550,131,245,220,251
551,130,246,220,251
552,133,247,221,252
553,129,250,221,252
554,132,252,222,253
555,130,251,222,254
556,134,252,222,254
557,131,252,223,255
558,133,253,223,255
559,131,254,224,256
560,133,254,224,256
561,132,257,224,257
562,134,258,225,257
563,132,258,225,258
564,134,258,226,259
565,133,260,226,259
566,135,259,227,260
567,133,260,227,260
568,135,260,228,261
569,133,264,228,261
570,136,264,229,262
571,134,265,229,262
572,136,266,230,263
573,135,265,230,264
574,138,267,230,264
575,135,267,231,264
576,139,267,231,265
577,136,269,232,266
578,137,269,232,266
579,136,270,233,267
580,140,270,234,267
581,136,270,233,268
582,140,271,234,268
583,137,271,234,269
584,140,271,235,269
585,138,277,235,270
586,142,277,236,271
587,142,278,236,271
588,140,278,237,271
589,139,279,237,272
590,140,280,238,273
591,139,279,238,273
592,142,281,239,274
593,140,282,239,274
594,142,282,240,275
595,140,284,240,275
596,144,283,240,276
597,140,285,241,276
598,143,285,241,277
599,141,286,242,277
600,143,287,243,278
601,142,288,243,278
602,145,290,243,279
603,142,289,244,279
604,144,290,244,280
605,144,291,244,280
606,145,291,245,281
607,142,292,245,282
608,145,293,246,282
609,143,297,246,283
610,146,297,247,283
611,144,297,247,284
612,146,298,248,285
613,144,298,248,285
614,148,298,249,285
615,145,300,249,286
616,148,299,250,287
617,146,303,250,287
618,147,304,251,288
619,149,304,251,288
620,149,305,252,289
621,146,305,252,289
622,149,306,252,290
623,147,305,253,291
624,149,306,253,291
625,147,310,254,291
626,150,310,254,292
627,148,312,255,292
628,150,312,255,294
629,148,313,256,294
630,152,313,256,294
631,149,313,256,295
632,152,314,257,295
633,150,318,257,296
634,152,318,258,296
635,151,320,258,297
636,152,319,259,297
637,151,321,259,298
638,154,321,260,299
