n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
69,13474,12703,12601,13294,13079,12762,13439,13433,13350,14274,14733,14995,14747,14946,15236,15838,16750,18352,16246,16676
70,13705,12974,12782,13481,13341,13149,13772,13765,13690,14629,15091,15373,14862,15269,15528,16147,17095,18716,16648,17070
71,13922,13185,12976,13696,13493,13416,14108,14156,14010,15036,15317,15375,15347,15530,15874,16468,17520,19119,17002,17411
72,14203,13417,13193,13934,13764,13694,14441,14499,14356,15286,15527,15723,15364,15770,16087,16820,17897,19524,17363,17744
73,15216,14241,13859,14403,14268,13996,14779,14783,14759,15702,15749,16247,15843,15933,16280,17159,18218,19950,17745,18048
74,15307,14443,14001,14507,14446,14353,15146,15181,15093,16031,16010,16422,15878,16247,16562,17474,18649,20220,18122,18464
75,15545,14654,14267,14766,14599,14590,15546,15515,15388,16469,16282,16604,16355,16445,16850,17799,19038,20586,18475,18716
76,15774,14796,14409,14915,14857,14935,15839,15844,15743,16791,16505,16805,16325,16730,17072,18073,19343,20926,18769,19065
77,15995,15064,14667,15155,15072,15294,16260,16247,16135,17173,16809,17140,16842,16975,17329,18391,19762,21285,19165,19361
78,16225,15287,14871,15320,15279,15651,16612,16561,16513,17621,17162,17601,16908,17373,17635,18693,20059,21646,19496,19637
79,16551,15509,15074,15534,15429,15879,16979,16983,16889,17972,17387,17862,17475,17566,17931,19044,20425,22005,19835,20048
80,16720,15738,15222,15809,15647,16306,17412,17414,17286,18409,17677,17992,17364,17820,18150,19280,20752,22307,20073,20310
81,17152,16368,15734,16176,16328,16687,17751,17786,17710,18829,17816,18213,17917,18022,18390,19680,21116,22653,20380,20692
82,17261,16499,15907,16377,16425,16964,18117,18118,18007,19245,18147,18667,17916,18370,18694,19977,21453,23039,20754,20974
83,17375,16691,16149,16656,16643,17226,18442,18484,18372,19512,18357,19090,18539,18590,18955,20281,21722,23368,21028,21313
84,17675,16908,16326,16789,16936,17573,18825,18854,18780,19964,18675,19042,18417,18863,19182,20561,22078,23705,21306,21572
85,17899,17122,16553,16945,17150,17870,19271,19273,19163,20378,18837,19335,19084,19128,19505,20865,22400,24057,21578,21911
86,18164,17407,16759,17159,17302,18217,19653,19657,19551,20787,19221,19667,19076,19539,19838,21072,22683,24335,21854,22218
87,18375,17594,16920,17376,17526,18589,20003,20007,19902,21129,19534,19943,19690,19785,20091,21347,22891,24612,22117,22411
88,18570,17866,17136,17591,17747,19006,20403,20400,20304,21566,19811,20173,19555,20116,20388,21601,23135,24948,22329,22685
89,18909,17645,17544,17904,18030,19268,20823,20853,20764,22039,20055,20562,20294,20360,20625,21913,23454,25247,22694,23035
90,19064,17830,17667,18089,18274,19699,21238,21270,21165,22454,20450,20900,20289,20727,21005,22203,23730,25629,22907,23340
91,19356,18082,17902,18420,18494,20063,21695,21635,21561,22901,20716,21123,20995,21070,21287,22454,23994,25941,23111,23611
92,19551,18251,18125,18564,18682,20539,22162,22096,22030,23369,21009,21503,20894,21441,21614,22733,24268,26265,23353,23874
93,19801,18491,18262,18778,18933,20884,22572,22562,22460,23837,21328,21903,21568,21690,21810,22992,24477,26577,23575,24136
94,20005,18702,18478,18928,19085,21181,22963,22954,22788,24213,21709,22159,21560,22101,22225,23257,24776,26853,23830,24423
95,20225,18874,18702,19169,19302,21513,23328,23338,23213,24609,21986,22421,22119,22365,22525,23466,24998,27212,24004,24695
96,20496,19122,18919,19364,19537,21950,23762,23777,23657,25068,22251,22623,21894,22585,22741,23726,25236,27436,24277,24896
97,20818,19645,19238,19854,20206,22278,24196,24262,24154,25573,22445,23067,22713,22850,22942,24068,25620,27785,24605,25264
98,21071,19798,19472,20041,20399,22840,24656,24665,24539,26046,22815,23418,22722,23144,23297,24373,25958,28189,24839,25630
99,21292,19966,19660,20345,20631,23047,25122,25145,25076,26508,23009,23790,23325,23385,23574,24654,26260,28546,25107,25921
100,21428,20166,19879,20531,20857,23540,25600,25547,25475,26944,23311,23714,23091,23653,23859,24878,26653,28902,25429,26150
