COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 48
SEED 1753074900

Init: 12173

## MERGING 3 LISTS ##
Baseline (copy+sort) 596
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Tournament Tree (Oz)                     | true    |      ? |       988,988,988 |             0.0000 |
State Machine (O3)                       | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (Os)                     | true    |      ? |       959,959,959 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       779,779,779 |             0.0000 |
Heap (O2)                                | true    |      ? |       802,802,802 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       585,585,585 |             0.0000 |
Insert (O3)                              | true    |      ? |       675,675,675 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       573,573,573 |             0.0000 |
Insert (Oz)                              | true    |      ? |       567,567,567 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O1)                          | true    |      ? |       842,842,842 |             0.0000 |
Heap (Oz)                                | true    |      ? |       874,874,874 |             0.0000 |
Find (Oz)                                | true    |      ? |    1298,1298,1298 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       816,816,816 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       793,793,793 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       649,649,649 |             0.0000 |
Heap (O3)                                | true    |      ? |       808,808,808 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       819,819,819 |             0.0000 |
Find (O1)                                | true    |      ? |    1217,1217,1217 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       576,576,576 |             0.0000 |
Heap (Os)                                | true    |      ? |       838,838,838 |             0.0000 |

## MERGING 9 LISTS ##
Baseline (copy+sort) 1888
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |    1043,1043,1043 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O0)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert (O0)                              | true    |      ? |    1518,1518,1518 |             0.0000 |
Find (O2)                                | true    |      ? |    1403,1403,1403 |             0.0000 |
Insert (O2)                              | true    |      ? |       770,770,770 |             0.0000 |
Heap (O0)                                | true    |      ? |    2068,2068,2068 |             0.0000 |
Insert (Os)                              | true    |      ? |       666,666,666 |             0.0000 |
State Machine (Oz)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (Os)                                | true    |      ? |    1478,1478,1478 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    4351,4351,4351 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |    2149,2149,2149 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       690,690,690 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1075,1075,1075 |             0.0000 |
Find (O3)                                | true    |      ? |    1560,1560,1560 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |    1577,1577,1577 |             0.0000 |
State Machine (O0)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (O0)                                | true    |      ? |    2821,2821,2821 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine (Os)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine (O2)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1038,1038,1038 |             0.0000 |
State Machine (O1)                       | false   |      ? |                 ? |                  ? | Unsupported
Insert (O1)                              | true    |      ? |       775,775,775 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1040,1040,1040 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1230,1230,1230 |             0.0000 |
State Machine (O3)                       | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (Os)                     | true    |      ? |    1192,1192,1192 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       891,891,891 |             0.0000 |
Heap (O2)                                | true    |      ? |       915,915,915 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       683,683,683 |             0.0000 |
Insert (O3)                              | true    |      ? |       796,796,796 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       666,666,666 |             0.0000 |
Insert (Oz)                              | true    |      ? |       678,678,678 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O1)                          | true    |      ? |       985,985,985 |             0.0000 |
Heap (Oz)                                | true    |      ? |    1006,1006,1006 |             0.0000 |
Find (Oz)                                | true    |      ? |    1450,1450,1450 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       943,943,943 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       907,907,907 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       760,760,760 |             0.0000 |
Heap (O3)                                | true    |      ? |       920,920,920 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       911,911,911 |             0.0000 |
Find (O1)                                | true    |      ? |    1350,1350,1350 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       686,686,686 |             0.0000 |
Heap (Os)                                | true    |      ? |       971,971,971 |             0.0000 |

## MERGING 10 LISTS ##
Baseline (copy+sort) 2282
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |    1241,1241,1241 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O0)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert (O0)                              | true    |      ? |    1750,1750,1750 |             0.0000 |
Find (O2)                                | true    |      ? |    1502,1502,1502 |             0.0000 |
Insert (O2)                              | true    |      ? |       879,879,879 |             0.0000 |
Heap (O0)                                | true    |      ? |    2398,2398,2398 |             0.0000 |
Insert (Os)                              | true    |      ? |       759,759,759 |             0.0000 |
State Machine (Oz)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (Os)                                | true    |      ? |    1670,1670,1670 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    4991,4991,4991 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |    2422,2422,2422 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       786,786,786 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1226,1226,1226 |             0.0000 |
Find (O3)                                | true    |      ? |    1667,1667,1667 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |    1873,1873,1873 |             0.0000 |
State Machine (O0)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (O0)                                | true    |      ? |    3120,3120,3120 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine (Os)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine (O2)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1195,1195,1195 |             0.0000 |
State Machine (O1)                       | false   |      ? |                 ? |                  ? | Unsupported
Insert (O1)                              | true    |      ? |       930,930,930 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1197,1197,1197 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1437,1437,1437 |             0.0000 |
State Machine (O3)                       | false   |      ? |                 ? |                  ? | Unsupported
