n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
142,317956,537096,256677,257828
143,321848,544082,258730,260174
144,325757,551102,260779,262007
145,329689,558152,262948,264317
146,333652,565259,265229,266360
147,337616,572443,267440,268636
148,341605,579631,269474,270570
149,345636,586873,271583,272871
150,349658,594151,274189,275218
151,353718,601456,276424,277722
152,357445,608815,278454,279550
153,361672,616381,280628,281980
154,365947,623934,283223,284285
155,370264,631513,285451,286691
156,374519,639132,287849,288932
157,378791,646729,289954,291348
158,383065,654382,292772,293952
159,387384,662107,294720,296384
160,391652,669794,296750,298198
161,395997,677554,298959,300467
162,400343,685425,301051,302469
163,404792,693264,303228,304744
164,409216,701165,305380,306754
165,413725,709154,307591,309083
166,418188,717136,309897,311249
167,422629,725156,312347,313828
168,427088,733235,314466,315826
169,431574,741339,316697,318157
170,436110,749579,318827,320218
171,440690,757741,321172,322719
172,445316,766007,323377,324810
173,449958,774294,325842,327323
174,454660,782638,328763,330190
175,459368,791026,331117,332827
176,464044,799464,333166,334704
177,468711,807963,335524,337146
178,473390,816487,337814,339236
179,478132,825001,340080,341612
180,482927,833634,342270,343691
181,487778,842283,344654,346183
182,492628,851029,347461,348701
183,497503,859673,349848,351403
184,502427,868530,352211,353496
185,507291,877376,354503,355999
186,512219,886282,357371,358484
187,517132,895164,359777,361121
188,522057,904120,362305,363438
189,527055,913122,364517,366032
190,532067,922219,367512,368763
191,537153,931254,369844,371612
192,542257,940379,371687,373231
193,547365,949609,374142,375744
194,552427,958793,376416,377700
195,557526,968038,378838,380355
196,562719,977356,380768,382258
197,567870,986752,383246,384805
198,573108,996178,385420,386951
199,578354,1005575,388009,389694
200,583615,1015178,389988,391462
