COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Insert Cache (O3)                        | true    |      ? |       114,114,114 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       434,434,434 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       434,434,434 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |       785,785,785 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       181,181,181 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       124,124,124 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       115,115,115 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       108,108,108 |             0.0000 |
Find (O1)                                | true    |      ? |       529,529,529 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       116,116,116 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       125,125,125 |             0.0000 |

## MERGING 8 LISTS ##
Baseline (copy+sort) 548
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       609,609,609 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       175,175,175 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       496,496,496 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       176,176,176 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       496,496,496 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       176,176,176 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |       613,613,613 |             0.0000 |
Find (O2)                                | true    |      ? |       608,608,608 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |          91,91,91 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          62,62,62 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       206,206,206 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       158,158,158 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       112,112,112 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          62,62,62 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       130,130,130 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       495,495,495 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       495,495,495 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |       872,872,872 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       206,206,206 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       177,177,177 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       133,133,133 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       123,123,123 |             0.0000 |
Find (O1)                                | true    |      ? |       607,607,607 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       132,132,132 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       175,175,175 |             0.0000 |

## MERGING 9 LISTS ##
Baseline (copy+sort) 615
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       789,789,789 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       242,242,242 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       558,558,558 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       242,242,242 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       558,558,558 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       242,242,242 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |       736,736,736 |             0.0000 |
Find (O2)                                | true    |      ? |       789,789,789 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |       103,103,103 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          70,70,70 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       233,233,233 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       182,182,182 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       127,127,127 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          70,70,70 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       147,147,147 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       558,558,558 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       562,562,562 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |    1114,1114,1114 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       233,233,233 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       242,242,242 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       149,149,149 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       139,139,139 |             0.0000 |
Find (O1)                                | true    |      ? |       795,795,795 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       148,148,148 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       242,242,242 |             0.0000 |

## MERGING 10 LISTS ##
Baseline (copy+sort) 679
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       875,875,875 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       320,320,320 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       620,620,620 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       322,322,322 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       622,622,622 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       321,321,321 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |       823,823,823 |             0.0000 |
Find (O2)                                | true    |      ? |       873,873,873 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |       114,114,114 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          77,77,77 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       259,259,259 |             0.0000 |
