n,Heap Branchless Parallel,Heap 3ary Branchless Parallel,Heap 4ary Branchless Parallel
526,837,929,862
527,838,931,867
528,844,932,868
529,851,935,870
530,847,942,876
531,851,945,877
532,854,946,878
533,857,945,882
534,859,945,886
535,862,948,888
536,867,953,888
537,871,972,892
538,870,957,894
539,876,959,896
540,932,963,898
541,883,967,901
542,883,969,903
543,886,970,907
544,890,977,908
545,895,976,909
546,901,982,915
547,904,980,913
548,902,983,917
549,906,1047,920
550,915,988,924
551,911,991,925
552,916,992,927
553,920,991,929
554,923,997,933
555,931,999,932
556,929,1000,936
557,933,1023,934
558,936,1007,943
559,940,1005,940
560,948,1010,945
561,946,1013,949
562,949,1015,950
563,952,1018,952
564,957,1020,955
565,959,1022,957
566,962,1024,958
567,965,1024,972
568,969,1028,962
569,972,1030,964
570,976,1033,968
571,979,1099,970
572,982,1037,1036
573,986,1037,972
574,989,1047,975
575,993,1045,974
576,998,1042,980
577,999,1044,988
578,1004,1048,983
579,1006,1048,984
580,1011,1051,987
581,1014,1052,1001
582,1017,1054,993
583,1026,1057,993
584,1024,1061,994
585,1027,1062,997
586,1033,1062,1001
587,1033,1062,1001
588,1038,1066,1003
589,1041,1069,1004
590,1044,1074,1006
591,1056,1072,1010
592,1052,1071,1074
593,1055,1075,1012
594,1066,1074,1016
595,1062,1078,1017
596,1074,1081,1017
597,1079,1081,1084
598,1072,1083,1018
599,1076,1085,1022
600,1080,1087,1024
601,1085,1089,1029
602,1089,1091,1024
603,1089,1094,1030
604,1094,1094,1032
605,1097,1092,1034
606,1107,1120,1037
607,1104,1097,1036
608,1109,1100,1038
609,1111,1103,1039
610,1116,1105,1040
611,1119,1105,1043
612,1125,1105,1039
613,1127,1108,1048
614,1138,1108,1048
615,1133,1179,1049
616,1140,1183,1054
617,1141,1115,1053
618,1144,1114,1054
619,1148,1186,1080
620,1153,1119,1058
621,1154,1122,1059
622,1158,1147,1056
623,1163,1122,1065
624,1174,1123,1065
625,1171,1126,1067
626,1174,1128,1068
627,1179,1128,1068
628,1183,1133,1071
629,1185,1133,1075
630,1195,1135,1075
631,1244,1136,1075
632,1208,1136,1077
633,1200,1208,1079
634,1225,1140,1080
635,1209,1142,1079
636,1310,1145,1084
637,1222,1145,1087
638,1220,1147,1088
639,1223,1147,1088
640,1327,1145,1087
641,1231,1151,1158
642,1241,1152,1158
643,1237,1154,1165
644,1285,1165,1090
645,1349,1157,1098
646,1249,1158,1097
647,1252,1230,1102
648,1263,1231,1104
649,1259,1233,1103
650,1267,1160,1105
651,1266,1164,1111
652,1374,1202,1109
653,1274,1168,1112
654,1296,1164,1115
655,1289,1172,1179
656,1390,1173,1116
657,1288,1244,1118
658,1294,1176,1124
659,1402,1177,1117
660,1304,1180,1186
661,1325,1180,1122
