n,Find (O0),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O0),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
48,28531,9610,9265,8954,9746,9885,23900,9404,10177,10144,9010,9200,26354,8188,8290,8299,8230,8528,22808,12809,11430,11256,11435,12260,26820,11115,12033,13197,11909,11725,0,0,0,0,0,0
49,31904,10228,9740,9424,10107,10192,24942,9746,10552,10415,9321,9467,27457,8417,8557,8588,8515,8787,23264,13107,11669,11457,11678,12562,27466,11383,12405,13565,12266,12042,0,0,0,0,0,0
50,32395,10361,9891,9604,10317,10453,25816,10053,10857,10788,9618,9747,28386,8695,8831,8852,8794,9146,24018,13516,12060,11760,12014,12909,28234,11654,12676,13883,12528,12283,0,0,0,0,0,0
51,33198,10645,10154,9854,10508,10726,26809,10390,11246,11112,9932,10063,29440,8973,9094,9133,9068,9390,24636,13912,12461,12188,12389,13382,28998,11902,12980,14172,12884,12585,0,0,0,0,0,0
52,33779,10829,10357,10044,10774,10897,27800,10771,11621,11489,10266,10452,30526,9213,9407,9449,9354,9691,25332,14282,12837,12512,12744,13751,29397,12132,13228,14485,13105,12819,0,0,0,0,0,0
53,34803,11060,10630,10229,10950,11079,28746,11132,11947,11917,10608,10717,31661,9502,9707,9730,9681,10000,25858,14685,13191,12827,13166,14135,30145,12457,13554,14868,13451,13084,0,0,0,0,0,0
54,35223,11313,10815,10480,11236,11313,29779,11456,12378,12190,10995,11070,32603,9809,10048,10030,9996,10287,26814,15152,13692,13380,13618,14622,30901,12753,13780,15155,13721,13312,0,0,0,0,0,0
55,35970,11567,11085,10690,11431,11548,30798,11812,12661,12579,11367,11431,33557,10065,10324,10363,10228,10649,27390,15632,14197,13751,14033,15114,31425,13014,14161,15500,13963,13605,0,0,0,0,0,0
56,36740,11822,11314,10901,11661,11827,31766,12162,12965,12892,11634,11696,34650,10409,10667,10678,10559,10990,28101,16054,14513,14087,14437,15513,32050,13215,14352,15731,14181,13781,0,0,0,0,0,0
57,40894,12194,11535,11322,11863,12309,32737,12494,13303,13160,12038,12093,35751,10617,10959,10967,10888,11415,28617,16356,14861,14368,14776,15849,32729,13494,14651,16126,14598,14087,0,0,0,0,0,0
58,41537,12351,11677,11459,12049,12431,33738,12711,13576,13513,12344,12371,36816,10955,11274,11263,11243,11653,29580,16759,15235,14816,15177,16292,33364,13785,14889,16441,14920,14345,0,0,0,0,0,0
59,42223,12575,11908,11666,12252,12690,34718,13060,13841,13809,12716,12721,37591,11246,11597,11598,11532,12067,30083,17286,15813,15196,15691,16797,33995,13976,15205,16767,15173,14571,0,0,0,0,0,0
