COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 100
ITER_COUNT 11
NUM_TESTS 20
TEST_TYPE random
SEED 1763077086

Init: 60572

## MERGING 3 LISTS ##
Baseline (copy+sort) 461
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Heap Cache (O3)                          | true    |      ? |       781,782,834 |            15.0476 |
Heap Cache (Oz)                          | true    |      ? |       802,802,808 |             1.8318 |
Tournament Tree (O1)                     | true    |      ? |       850,850,853 |             0.9791 |
Tournament Tree (Os)                     | true    |      ? |      957,958,1020 |            17.7051 |
Tournament Tree (O3)                     | true    |      ? |       821,825,833 |             3.7505 |
Insert Cache (Oz)                        | true    |      ? |       577,578,633 |            15.6427 |
Insert Cache (O2)                        | true    |      ? |       584,584,585 |             0.2875 |
Find SIMD (Os)                           | true    |      ? |    1312,1316,1317 |             1.5266 |
Insert Cache (O3)                        | true    |      ? |       651,660,711 |            15.4176 |
Heap Cache (O1)                          | true    |      ? |       840,842,845 |             1.3545 |
Find SIMD (O3)                           | true    |      ? |    1315,1318,1390 |            20.7731 |
Insert Cache (Os)                        | true    |      ? |       577,577,578 |             0.4810 |
Tournament Tree (Oz)                     | true    |      ? |       985,986,989 |             0.9875 |

## MERGING 9 LISTS ##
Baseline (copy+sort) 1783
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1037,1039,1096 |            16.4729 |
Heap Cache (O2)                          | true    |      ? |       892,893,894 |             0.7158 |
Find SIMD (O2)                           | true    |      ? |    1369,1372,1426 |            15.5569 |
Find SIMD (Oz)                           | true    |      ? |    1403,1408,1463 |            15.9969 |
Find SIMD (O1)                           | true    |      ? |    1331,1332,1333 |             0.7385 |
Heap Cache (Os)                          | true    |      ? |       913,915,973 |            16.8351 |
Insert Cache (O1)                        | true    |      ? |       664,665,668 |             1.6959 |
Heap Cache (O3)                          | true    |      ? |       889,889,893 |             1.3787 |
Heap Cache (Oz)                          | true    |      ? |       934,937,989 |            14.9975 |
Tournament Tree (O1)                     | true    |      ? |    1063,1065,1119 |            15.6337 |
Tournament Tree (Os)                     | true    |      ? |    1187,1187,1189 |             0.8907 |
Tournament Tree (O3)                     | true    |      ? |    1035,1038,1095 |            16.5968 |
Insert Cache (Oz)                        | true    |      ? |       679,679,687 |             2.6907 |
Insert Cache (O2)                        | true    |      ? |       681,683,686 |             1.4938 |
Find SIMD (Os)                           | true    |      ? |    1469,1473,1510 |            11.2257 |
Insert Cache (O3)                        | true    |      ? |       758,763,766 |             2.3880 |
Heap Cache (O1)                          | true    |      ? |      976,977,1032 |            15.7643 |
Find SIMD (O3)                           | true    |      ? |    1543,1544,1600 |            16.0134 |
Insert Cache (Os)                        | true    |      ? |       677,680,683 |             2.6222 |
Tournament Tree (Oz)                     | true    |      ? |    1225,1226,1284 |            16.7953 |

## MERGING 10 LISTS ##
Baseline (copy+sort) 2192
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1196,1198,1199 |             0.8814 |
Heap Cache (O2)                          | true    |      ? |    1050,1051,1103 |            14.8341 |
Find SIMD (O2)                           | true    |      ? |    1513,1514,1574 |            17.1787 |
Find SIMD (Oz)                           | true    |      ? |    1551,1555,1609 |            15.8245 |
Find SIMD (O1)                           | true    |      ? |    1480,1480,1544 |            18.1276 |
Heap Cache (Os)                          | true    |      ? |    1069,1070,1072 |             0.9000 |
Insert Cache (O1)                        | true    |      ? |       769,770,828 |            16.7712 |
Heap Cache (O3)                          | true    |      ? |    1042,1043,1045 |             0.7925 |
Heap Cache (Oz)                          | true    |      ? |    1104,1106,1166 |            17.3524 |
Tournament Tree (O1)                     | true    |      ? |    1222,1223,1228 |             1.8273 |
Tournament Tree (Os)                     | true    |      ? |    1340,1342,1396 |            15.6617 |
Tournament Tree (O3)                     | true    |      ? |    1193,1194,1254 |            17.1435 |
Insert Cache (Oz)                        | true    |      ? |       786,787,790 |             1.0679 |
Insert Cache (O2)                        | true    |      ? |       780,780,841 |            17.3615 |
Find SIMD (Os)                           | true    |      ? |    1606,1609,1678 |            20.3372 |
Insert Cache (O3)                        | true    |      ? |       871,881,897 |             6.3441 |
Heap Cache (O1)                          | true    |      ? |    1140,1141,1196 |            15.8828 |
Find SIMD (O3)                           | true    |      ? |    1693,1695,1698 |             1.3111 |
Insert Cache (Os)                        | true    |      ? |       784,786,839 |            15.3467 |
Tournament Tree (Oz)                     | true    |      ? |    1416,1417,1470 |            15.1303 |

## MERGING 11 LISTS ##
Baseline (copy+sort) 2361
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1347,1350,1352 |             1.3727 |
Heap Cache (O2)                          | true    |      ? |    1233,1237,1291 |            15.9031 |
Find SIMD (O2)                           | true    |      ? |    1672,1673,1733 |            17.2330 |
Find SIMD (Oz)                           | true    |      ? |    1711,1714,1763 |            14.2208 |
Find SIMD (O1)                           | true    |      ? |    1635,1637,1647 |             4.0452 |
Heap Cache (Os)                          | true    |      ? |    1256,1257,1316 |            16.9350 |
Insert Cache (O1)                        | true    |      ? |       863,864,864 |             0.2875 |
Heap Cache (O3)                          | true    |      ? |    1225,1225,1247 |             6.2931 |
Heap Cache (Oz)                          | true    |      ? |    1295,1296,1357 |            17.4536 |
Tournament Tree (O1)                     | true    |      ? |    1372,1373,1376 |             1.1134 |
Tournament Tree (Os)                     | true    |      ? |    1507,1507,1567 |            17.1561 |
Tournament Tree (O3)                     | true    |      ? |    1347,1351,1368 |             7.9065 |
Insert Cache (Oz)                        | true    |      ? |       891,891,951 |            17.0095 |
Insert Cache (O2)                        | true    |      ? |       881,881,885 |             1.1571 |
Find SIMD (Os)                           | true    |      ? |    1774,1775,1829 |            15.3822 |
Insert Cache (O3)                        | true    |      ? |       968,973,995 |             7.3271 |
Heap Cache (O1)                          | true    |      ? |    1336,1339,1343 |             1.6211 |
Find SIMD (O3)                           | true    |      ? |    1871,1873,1922 |            14.7430 |
Insert Cache (Os)                        | true    |      ? |       889,890,899 |             2.8313 |
Tournament Tree (Oz)                     | true    |      ? |    1612,1613,1664 |            14.5942 |

## MERGING 12 LISTS ##
Baseline (copy+sort) 2892
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1401,1404,1454 |            14.9318 |
Heap Cache (O2)                          | true    |      ? |    1385,1387,1444 |            16.4166 |
Find SIMD (O2)                           | true    |      ? |    1835,1837,1895 |            16.7564 |
Find SIMD (Oz)                           | true    |      ? |    1874,1877,1928 |            14.8936 |
Find SIMD (O1)                           | true    |      ? |    1794,1795,1854 |            16.8793 |
Heap Cache (Os)                          | true    |      ? |    1404,1405,1414 |             3.2828 |
Insert Cache (O1)                        | true    |      ? |      960,961,1021 |            17.2541 |
Heap Cache (O3)                          | true    |      ? |    1377,1378,1380 |             1.0679 |
Heap Cache (Oz)                          | true    |      ? |    1457,1457,1516 |            16.7899 |
Tournament Tree (O1)                     | true    |      ? |    1439,1440,1495 |            15.9036 |
Tournament Tree (Os)                     | true    |      ? |    1595,1596,1655 |            16.8797 |
Tournament Tree (O3)                     | true    |      ? |    1401,1403,1410 |             3.2853 |
Insert Cache (Oz)                        | true    |      ? |    1002,1003,1062 |            16.9925 |
Insert Cache (O2)                        | true    |      ? |       986,987,989 |             0.7385 |
Find SIMD (Os)                           | true    |      ? |    1951,1952,1995 |            12.2211 |
Insert Cache (O3)                        | true    |      ? |    1089,1096,1149 |            16.0629 |
Heap Cache (O1)                          | true    |      ? |    1486,1488,1490 |             1.2060 |
Find SIMD (O3)                           | true    |      ? |    2043,2047,2101 |            16.0387 |
Insert Cache (Os)                        | true    |      ? |    1006,1010,1058 |            14.0777 |
