n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
218,6628,5404,5414,10774,5905,6188,6077,6012,5963
219,6568,5434,5438,10910,5876,6221,6112,6039,5999
220,6747,5462,5469,10953,5925,6258,6153,6073,6014
221,6634,5483,5493,11042,5968,6298,6186,6090,6056
222,6845,5499,5512,11182,6001,6340,6229,6116,6079
223,6669,5534,5542,11242,6216,6384,6264,6160,6113
224,6864,5560,5564,11381,6258,6411,6294,6176,6130
225,6759,5638,5642,11438,6299,6438,6330,6192,6155
226,6960,5664,5670,11534,6337,6477,6364,6236,6191
227,6872,5742,5694,11613,6174,6509,6393,6258,6213
228,7019,5717,5720,11723,6225,6538,6433,6285,6257
229,6893,5739,5748,11865,6257,6584,6454,6327,6267
230,7185,5770,5771,11942,6315,6614,6505,6343,6303
231,7016,5790,5797,11999,6330,6660,6540,6380,6334
232,7127,5824,5829,12150,6376,6694,6575,6400,6358
233,7041,5693,5699,12190,6407,6729,6609,6437,6372
234,7249,5716,5760,12282,6443,6766,6648,6456,6408
235,7099,5745,5758,12415,7037,6807,6685,6489,6450
236,7261,5772,5801,12533,7077,6844,6722,6514,6458
237,7229,5777,5794,12644,7107,6887,6756,6558,6500
238,7335,5829,5828,12699,7151,6932,6808,6562,6523
239,7276,5849,5857,12807,6944,6976,6835,6600,6549
240,7466,5871,5874,12910,7025,7004,6880,6638,6594
241,7287,6002,6017,13002,7062,7053,6916,6671,6620
242,7490,6032,6069,13092,7112,7076,6953,6694,6643
243,7406,6071,6078,13177,6904,7134,6990,6732,6675
244,7547,6117,6108,13333,7002,7168,7031,6820,6713
245,7532,6201,6167,13390,7007,7223,7080,6807,6741
246,7669,6299,6198,13556,7039,7258,7121,6841,6777
247,7490,6238,6220,13637,7124,7315,7174,6868,6814
248,7694,6240,6259,13748,7183,7349,7216,6898,6833
249,7587,6737,6778,13875,7213,7395,7261,6933,6861
250,7767,6810,6809,14029,7263,7436,7295,6960,6892
251,7609,6838,6812,14083,7466,7486,7336,6994,6921
252,7785,6894,6887,14273,7524,7522,7378,7021,6946
253,7747,6874,6977,14335,7577,7567,7420,7044,6966
254,7869,6933,6916,14453,7613,7638,7457,7076,7006
255,7765,6980,6989,14576,7423,7663,7497,7107,7025
256,7934,6945,7000,14689,7461,7678,7533,7131,7054
257,7872,6802,6882,14802,7506,7714,7550,7194,7114
258,8091,7309,7168,14977,7581,7742,7589,7231,7148
259,7952,7211,7202,15113,7635,7776,7615,7271,7207
260,8116,6969,6936,15249,7754,7805,7654,7316,7240
261,7949,6975,7024,15372,7907,7837,7674,7359,7329
262,8181,7373,7316,15473,7802,7872,7709,7396,7338
263,8043,7377,7340,15722,7881,7902,7739,7432,7380
264,8282,7180,7209,15674,8014,7930,7773,7467,7408
265,8158,7352,7502,15847,8106,7963,7796,7487,7461
266,8317,7892,7849,16156,8062,7995,7832,7554,7493
267,8271,7958,7918,16318,8216,8029,7864,7599,7541
268,8325,7725,7634,16298,8333,8061,7898,7637,7594
269,8279,7658,7693,16522,8431,8093,7975,7685,7631
270,8445,8002,8029,16619,8239,8138,7966,7766,7681
271,8338,7950,7988,16860,8391,8164,8000,7778,7719
272,8460,7752,7750,16985,8597,8193,8033,7808,7756
273,8449,7972,8093,17051,8666,8229,8080,7855,7810
274,8718,8390,8325,17137,8718,8265,8087,7900,7859
275,8643,8472,7972,17235,8894,8292,8166,7944,7909
276,8631,8289,8123,17374,8727,8329,8150,7982,7942
277,8583,8197,8301,17652,9245,8360,8178,8032,7983
278,8715,8686,8597,17641,8797,8392,8222,8065,8046
279,8599,8658,8772,17911,9082,8431,8248,8118,8067
280,8773,8379,8391,18021,9292,8461,8290,8151,8104
281,8592,8563,8566,18065,9367,8506,8313,8202,8144
282,8806,8986,9054,18206,9397,8534,8353,8233,8193
283,8866,9047,9125,18343,9375,8573,8408,8282,8230
284,8946,8679,8702,18509,9657,8605,8426,8319,8274
285,8815,8708,8737,18597,9766,8657,8449,8364,8311
286,8908,9116,9158,18750,9475,8688,8491,8405,8355
287,8831,9103,9210,18813,9548,8725,8523,8438,8374
288,9148,8820,8840,18958,9884,8747,8612,8489,8430
289,8877,9002,9027,19067,9964,8777,8585,8520,8503
290,9226,9523,9515,19175,9884,8819,8616,8585,8521
291,8967,9543,9588,19371,9941,8843,8640,8621,8610
292,9146,9095,9120,19432,10157,8891,8690,8710,8607
293,9093,9129,9182,19589,10219,8912,8702,8701,8650
294,9340,9595,9612,19692,10134,8954,8740,8736,8762
295,9206,9635,9619,19822,10172,8983,8779,8767,8743
296,9386,9214,9219,19978,10316,9013,8828,8809,8778
297,9199,9395,9414,20087,10447,9049,8888,8868,8809
298,9552,9941,9937,20197,10375,9133,8878,8904,8864
299,9307,9977,9962,20359,10424,9166,8926,8940,8910
300,9527,9494,9513,20474,10593,9165,8956,8986,8955
301,9429,9544,9530,20583,10671,9199,8994,9044,8998
302,9604,10038,10037,20738,10605,9245,9024,9058,9030
303,9435,10057,10069,20821,10676,9282,9107,9111,9071
304,9774,9645,9624,20988,10819,9311,9112,9154,9105
305,9545,9809,9793,21079,10923,9354,9119,9179,9174
306,9669,10364,10359,21228,10821,9433,9179,9233,9211
307,9559,10387,10405,21320,10871,9426,9235,9299,9226
308,9715,9892,9907,21479,11084,9477,9241,9361,9264
309,9711,9921,9956,21646,11082,9499,9279,9358,9332
310,10006,10490,10465,21758,11057,9540,9331,9391,9366
311,9728,10513,10490,21874,11130,9581,9356,9490,9411
312,9903,10026,10082,22011,11248,9616,9410,9491,9496
313,9807,10261,10228,22150,11312,9656,9460,9508,9487
314,9974,10782,10802,22258,11256,9716,9483,9549,9504
315,9936,10829,10814,22366,11299,9733,9495,9582,9581
316,10108,10298,10348,22471,11457,9765,9550,9636,9576
317,9848,10363,10332,22652,11505,9832,9576,9674,9621
318,10118,10864,10874,22775,11486,9912,9634,9728,9723
319,9962,10907,10917,22944,11534,9931,9659,9747,9764
320,10259,10460,10467,23052,11689,9933,9702,9835,9759
321,10047,10609,10613,23199,11791,10003,9723,9819,9815
322,10381,11199,11186,23329,11749,10029,9762,9894,9907
323,10125,11216,11232,23451,11779,10040,9819,9924,9904
324,10299,10714,10712,23573,11897,10069,9891,9943,9922
325,10129,10738,10752,23715,12005,10125,9922,10037,9976
326,10411,11290,11332,23837,11922,10216,9934,10026,10000
327,10229,11339,11364,23996,12014,10253,10008,10080,10038
328,10486,10890,10848,24124,12153,10246,9992,10107,10073
329,10259,11020,11046,24241,12162,10319,10017,10145,10131
330,10595,11616,11638,24417,12136,10327,10066,10227,10184
331,10389,11665,11718,24533,12244,10400,10088,10207,10201
332,10800,11154,11132,24676,12346,10393,10147,10296,10204
333,10490,11143,11208,24781,12390,10456,10211,10287,10277
334,10682,11727,11725,24925,12399,10510,10248,10336,10307
335,10472,11763,11770,25094,12435,10515,10287,10390,10391
336,10711,11246,11264,25222,12565,10604,10291,10380,10416
337,10611,11448,11461,25359,12674,10642,10343,10429,10406
338,10801,12077,12085,25466,12626,10690,10403,10459,10425
339,10670,12165,12128,25631,12639,10673,10430,10540,10463
340,10871,11554,11573,25777,12792,10722,10454,10528,10548
341,10697,11592,11658,25915,12881,10807,10489,10568,10579
342,11041,12183,12181,26050,12821,10828,10587,10595,10599
343,10860,12215,12232,26198,12877,10859,10602,10635,10639
344,11148,11691,11774,26503,13113,11016,10681,10768,10651
345,10890,11962,11985,26634,13213,11212,10707,10816,10745
346,11274,12615,12671,26848,13148,11150,10812,10867,10830
347,10997,12645,12654,26984,13221,11150,10843,10815,10785
348,11131,12068,12018,27090,13358,11152,10856,10842,10843
349,10985,12021,12052,27069,13338,11156,10860,10857,10823
350,11255,12632,12685,27202,13328,11161,10871,10847,10846
351,11242,12714,12786,27607,13460,11411,10895,11085,10879
352,11316,12232,12144,27531,13547,11377,11003,10914,11092
353,11246,12312,12319,27609,13587,11258,10963,10983,10967
354,11344,12999,12996,27727,13546,11334,11064,10985,10955
355,11242,13007,13067,27913,13564,11398,11052,11003,10971
356,11473,12413,12456,28032,13779,11398,11106,11058,11044
357,11307,12514,12484,28155,13785,11466,11180,11069,11083
358,11598,13097,13101,28338,13750,11470,11186,11111,11117
359,11412,13178,13199,28487,13833,11510,11255,11185,11110
360,11641,12543,12616,28617,13948,11549,11299,11203,11150
361,11411,12767,12776,28787,14013,11618,11336,11225,11198
362,11667,13441,13433,28905,14008,11680,11390,11216,11222
363,11585,13464,13522,29055,14078,11736,11395,11258,11247
364,11758,12903,12892,29169,14256,11726,11420,11351,11327
365,11593,12887,12932,29382,14280,11768,11463,11317,11334
366,11902,13584,13540,29479,14210,11819,11559,11358,11326
367,11713,13571,13656,29980,14425,12072,11565,11485,11393
368,12191,13076,13093,29978,14587,12142,11711,11497,11480
369,11855,13271,13296,30183,14607,12140,11761,11578,11544
370,12140,14030,14008,30289,14542,12114,11778,11675,11571
371,11865,14004,14034,30515,14684,12246,11914,11661,11623
372,12188,13409,13375,30590,14776,12171,11890,11607,11623
373,11916,13412,13423,30785,14824,12207,11925,11653,11698
374,12192,14094,14114,30983,14772,12283,11931,11706,11665
375,12016,14137,14179,31078,14845,12287,11986,11686,11691
376,12202,13522,13535,31300,15028,12215,12065,11778,11747
377,12113,13723,13699,31466,15110,12447,12158,11797,11782
378,12223,14422,14429,31285,14908,12430,12041,11719,11705
379,12162,14404,14421,31515,15017,12337,12067,11790,11725
380,12360,13776,13736,31629,15187,12436,12080,11763,11780
381,12088,13770,13784,31830,15224,12465,12120,11801,11808
382,12417,14493,14478,31943,15206,12556,12156,11864,11892
383,12241,14522,14508,32087,15260,12535,12200,11890,11879
