n,Heap Branchless Parallel,Heap 4ary Branchless Parallel,Heap 8ary Parallel SIMD
252,333,310,579
253,335,312,582
254,335,312,584
255,336,314,587
256,341,315,589
257,345,316,592
258,347,317,592
259,349,318,594
260,352,319,598
261,355,320,599
262,358,321,602
263,361,322,603
264,366,324,606
265,366,324,608
266,375,325,609
267,373,326,611
268,377,327,614
269,379,329,615
270,382,329,618
271,386,330,620
272,389,332,622
273,392,333,626
274,396,333,625
275,398,335,629
276,402,336,630
277,407,337,632
278,409,338,635
279,411,339,637
280,416,340,638
281,417,341,642
282,421,342,641
283,424,343,643
284,429,346,646
285,430,345,648
286,435,346,650
287,436,367,653
288,441,348,655
289,444,349,657
290,450,350,657
291,450,351,658
292,455,352,662
293,460,354,663
294,461,354,666
295,464,355,668
296,468,357,670
297,473,358,672
298,476,359,672
299,479,359,675
300,484,361,677
301,486,362,680
302,489,362,683
303,491,364,684
304,499,365,686
305,501,367,689
306,504,367,687
307,509,368,690
308,510,369,692
309,527,370,694
310,519,371,696
311,520,372,698
312,524,373,700
313,526,374,703
314,532,375,702
315,535,377,705
316,539,377,706
317,541,381,709
318,544,379,711
319,548,380,713
320,553,381,715
321,556,383,718
322,562,384,717
323,569,384,719
324,566,386,722
325,570,387,723
326,571,387,726
327,575,388,728
328,578,390,729
329,581,391,731
330,584,392,731
331,587,393,734
332,591,414,738
333,594,395,737
334,597,396,740
335,599,398,742
336,601,398,745
337,605,400,748
338,609,400,747
339,608,401,748
340,612,403,750
341,613,403,754
342,652,407,756
343,618,409,757
344,620,412,761
345,620,422,762
346,625,415,760
347,626,417,764
348,625,419,765
349,628,421,767
350,629,423,771
351,632,425,772
352,631,427,774
353,632,429,777
354,633,432,776
355,635,436,777
356,639,436,780
357,639,440,782
358,701,441,784
359,640,443,786
360,641,446,788
361,644,447,792
362,643,450,789
363,645,454,792
364,644,454,794
365,646,456,796
366,649,459,798
367,649,461,801
368,648,463,803
369,649,465,806
370,651,468,803
371,652,470,806
372,654,473,808
373,655,474,810
374,654,477,812
375,656,479,814
376,656,482,817
377,659,483,819
378,660,486,818
379,660,487,819
380,659,489,822
381,662,491,823
382,664,495,827
383,662,496,829
384,663,498,831
385,669,501,833
386,666,503,831
387,665,505,833
388,667,507,835
389,667,509,837
390,668,512,839
391,669,514,841
392,670,516,844
393,670,517,846
394,672,520,843
395,672,523,846
396,674,525,848
397,681,527,849
398,675,530,853
399,678,531,854
400,675,533,857
401,679,535,859
402,678,538,855
403,687,540,859
404,682,543,860
405,682,544,862
406,683,547,864
407,682,549,867
408,688,550,868
409,686,553,870
410,686,556,867
411,686,559,869
412,689,560,872
413,688,561,873
414,689,565,876
415,691,566,877
416,690,568,880
417,691,570,882
418,693,572,878
419,693,577,881
420,694,578,883
421,694,581,884
422,695,583,889
423,700,585,890
424,697,587,891
425,699,589,892
426,698,591,889
427,702,595,892
428,700,599,895
429,704,598,896
430,702,602,900
431,704,602,900
432,708,604,902
433,705,608,906
434,706,610,902
435,707,612,902
436,708,614,905
437,709,615,907
438,710,618,909
439,713,623,913
440,711,624,918
441,712,626,916
442,714,629,912
443,715,632,948
444,713,633,916
445,716,635,918
446,717,639,920
447,719,642,924
448,721,641,924
449,785,662,926
450,720,700,922
451,721,700,925
452,720,702,962
453,789,673,964
454,789,709,966
455,774,661,933
456,791,662,935
457,727,715,937
458,793,667,967
459,728,722,935
460,795,725,937
461,730,729,952
462,731,677,978
463,799,733,980
464,782,683,946
465,734,737,949
466,801,741,956
467,802,690,959
468,737,692,984
469,737,695,950
470,739,752,989
471,807,701,955
472,807,760,969
473,808,759,961
474,742,729,991
475,812,767,958
476,812,729,960
477,813,773,962
478,747,776,964
479,815,776,967
480,750,721,969
481,817,781,971
482,751,744,1002
483,819,787,969
484,752,792,971
485,755,793,973
486,822,797,1011
487,825,799,977
488,824,802,980
489,826,761,1018
490,826,754,1013
491,828,755,1016
492,762,815,983
493,762,815,1020
494,764,819,987
495,833,764,989
496,834,824,1027
497,767,825,993
498,836,830,989
499,838,776,1028
500,838,778,1029
501,841,836,996
502,825,785,1010
503,774,843,1012
504,827,789,1037
505,844,847,1004
506,846,795,1013
507,831,794,1004
508,832,800,1005
509,850,859,1007
510,851,804,1009
511,836,804,1013
512,788,805,1014
513,793,810,1016
514,797,810,1012
515,797,812,1015
516,804,832,1016
517,807,820,1020
518,806,822,1020
519,812,823,1026
520,812,837,1026
521,816,832,1027
522,819,837,1024
523,822,837,1038
524,830,839,1028
525,828,837,1029
526,831,847,1032
527,900,848,1033
528,838,847,1036
529,844,874,1037
530,848,851,1034
531,850,857,1037
532,851,861,1037
533,857,860,1040
534,856,859,1042
535,860,866,1044
536,938,870,1046
537,865,868,1048
538,870,874,1044
539,872,878,1047
540,876,878,1048
541,880,897,1050
542,883,891,1054
543,885,881,1055
544,890,887,1058
545,893,889,1064
546,897,900,1055
547,899,894,1057
548,904,893,1058
549,906,898,1061
550,910,896,1063
551,911,903,1065
552,917,904,1079
553,920,907,1068
554,924,908,1064
555,925,912,1067
556,930,911,1069
557,933,916,1071
558,942,915,1073
559,939,919,1076
560,948,920,1078
561,1026,921,1078
562,950,925,1080
563,953,927,1077
564,956,927,1079
565,1015,927,1081
566,963,932,1083
567,965,935,1085
568,970,936,1086
569,973,939,1090
570,978,938,1084
571,979,943,1086
572,987,945,1087
573,987,946,1089
574,990,947,1092
575,993,950,1096
576,1005,950,1096
577,1001,951,1099
578,1005,958,1093
579,1007,958,1095
580,1013,959,1097
581,1015,961,1115
582,1018,964,1102
583,1021,1021,1103
584,1032,965,1106
585,1113,968,1107
586,1032,972,1116
587,1035,971,1124
588,1039,971,1132
589,1043,977,1139
590,1053,979,1147
591,1049,978,1167
592,1061,979,1161
593,1056,980,1184
594,1062,984,1175
595,1064,987,1184
596,1068,987,1193
597,1070,991,1199
598,1082,998,1206
599,1078,992,1213
600,1082,994,1219
601,1085,996,1227
602,1088,1000,1235
603,1092,1008,1241
604,1096,1001,1250
605,1099,1042,1257
606,1103,1005,1264
607,1104,1008,1273
608,1111,1008,1279
609,1113,1019,1287
610,1117,1013,1292
611,1119,1013,1302
612,1131,1016,1309
613,1128,1016,1325
614,1131,1019,1321
615,1136,1019,1328
616,1140,1022,1334
617,1141,1023,1340
618,1146,1027,1347
619,1151,1028,1352
620,1153,1028,1359
621,1162,1030,1365
622,1161,1036,1372
623,1165,1032,1378
624,1169,1034,1383
625,1173,1030,1390
626,1175,1037,1394
627,1180,1039,1400
628,1183,1040,1406
629,1188,1042,1413
630,1191,1043,1418
631,1195,1046,1423
632,1199,1046,1429
633,1209,1049,1434
634,1220,1051,1440
635,1250,1051,1445
636,1222,1065,1459
637,1217,1054,1457
638,1224,1058,1463
639,1226,1057,1467
640,1231,1059,1473
641,1232,1060,1477
642,1237,1062,1482
643,1238,1063,1487
644,1247,1107,1491
645,1247,1066,1498
646,1353,1063,1502
647,1254,1069,1507
648,1258,1073,1511
649,1261,1071,1517
650,1268,1072,1522
651,1373,1077,1528
652,1291,1079,1532
653,1277,1122,1537
654,1280,1079,1542
655,1284,1083,1546
656,1286,1135,1558
657,1289,1136,1556
658,1293,1086,1559
659,1297,1086,1565
660,1300,1091,1568
661,1304,1093,1583
662,1307,1093,1578
663,1325,1096,1583
664,1313,1097,1588
665,1340,1098,1593
666,1321,1090,1599
667,1322,1100,1604
668,1325,1152,1607
669,1328,1104,1610
670,1333,1103,1615
671,1337,1107,1620
672,1339,1115,1624
673,1342,1108,1629
674,1355,1111,1637
675,1369,1110,1636
676,1350,1115,1641
677,1352,1114,1646
678,1357,1117,1654
679,1357,1109,1655
680,1361,1120,1659
681,1366,1128,1668
682,1367,1113,1667
683,1369,1124,1675
684,1396,1123,1676
685,1373,1118,1682
686,1376,1178,1690
687,1378,1128,1690
688,1403,1132,1694
689,1382,1130,1707
690,1386,1134,1781
691,1388,1134,1706
692,1390,1135,1712
693,1413,1140,1715
694,1394,1140,1719
695,1396,1139,1724
696,1396,1143,1728
697,1400,1143,1732
698,1402,1147,1819
699,1403,1192,1741
700,1406,1146,1745
701,1407,1147,1751
702,1408,1153,1754
703,1411,1151,1758
704,1411,1152,1761
705,1413,1147,1850
706,1417,1158,1770
707,1540,1156,1775
708,1418,1161,1780
709,1420,1152,1782
710,1424,1213,1786
711,1423,1163,1789
712,1426,1209,1793
713,1427,1168,1799
714,1551,1168,1807
715,1429,1171,1806
716,1468,1172,1811
717,1433,1173,1816
718,1432,1174,1818
719,1472,1226,1822
720,1435,1176,1828
721,1438,1198,1829
722,1478,1179,1838
723,1439,1182,1837
724,1455,1181,1842
725,1443,1186,1845
726,1445,1237,1849
727,1447,1185,1851
728,1444,1186,1858
729,1447,1189,1861
730,1448,1189,1867
731,1449,1183,1868
732,1450,1184,1872
733,1453,1195,1876
734,1451,1196,1880
735,1581,1199,1883
736,1455,1200,1888
737,1457,1200,1893
738,1457,1203,1896
739,1458,1205,1899
740,1458,1213,1903
741,1459,1206,1905
742,1488,1197,1910
743,1464,1210,1914
744,1466,1209,1918
745,1465,1213,1921
746,1464,1213,2018
747,1467,1216,2023
748,1467,1215,1933
749,1470,1216,1935
750,1469,1217,2035
751,1471,1222,1946
752,1470,1223,1948
753,1474,1222,1952
754,1474,1225,1955
755,1476,1228,1959
756,1537,1280,1963
757,1475,1250,2062
758,1478,1230,1970
759,1479,1231,1973
760,1610,1235,1977
761,1481,1233,2077
762,1510,1256,1984
763,1500,1238,1987
764,1486,1241,1990
765,1487,1231,1995
766,1484,1241,1998
767,1488,1242,2004
768,1490,1246,2006
769,1490,1235,2008
770,1490,1246,2012
771,1490,1248,2018
772,1497,1250,2019
773,1493,1251,2026
774,1494,1261,2027
775,1505,1255,2029
776,1500,1255,2035
777,1497,1257,2036
778,1498,1258,2043
779,1503,1260,2044
780,1500,1264,2050
781,1501,1262,2051
782,1532,1263,2056
783,1508,1265,2060
784,1504,1286,2063
785,1505,1268,2066
786,1506,1271,2070
787,1506,1272,2072
788,1507,1273,2075
789,1509,1275,2081
790,1510,1275,2082
791,1516,1277,2086
792,1511,1279,2089
793,1514,1281,2092
794,1519,1281,2097
795,1517,1281,2100
796,1519,1285,2103
797,1518,1285,2106
798,1522,1287,2111
799,1520,1288,2113
800,1519,1290,2117
801,1526,1291,2121
802,1521,1292,2124
803,1524,1293,2127
804,1556,1295,2130
805,1528,1299,2135
806,1530,1299,2137
807,1529,1301,2141
808,1527,1301,2144
809,1529,1303,2146
810,1534,1303,2152
811,1552,1307,2154
812,1536,1307,2160
813,1537,1310,2161
814,1535,1311,2165
815,1536,1312,2169
816,1536,1315,2171
817,1539,1315,2175
818,1539,1315,2180
819,1541,1319,2182
820,1541,1319,2186
821,1575,1320,2188
822,1545,1321,2193
823,1550,1325,2195
824,1545,1326,2199
825,1548,1326,2202
826,1547,1330,2206
827,1553,1330,2209
828,1581,1332,2212
829,1554,1334,2218
830,1552,1332,2220
831,1554,1336,2222
832,1557,1337,2228
833,1555,1340,2230
834,1558,1340,2232
835,1560,1343,2235
836,1561,1341,2239
837,1559,1346,2241
838,1563,1346,2245
839,1566,1346,2250
840,1563,1348,2251
841,1596,1350,2255
842,1563,1359,2259
843,1569,1354,2264
844,1569,1374,2265
845,1573,1346,2270
846,1571,1359,2274
847,1575,1361,2276
848,1573,1372,2279
849,1575,1363,2283
850,1625,1365,2288
851,1578,1367,2291
852,1582,1369,2293
853,1580,1369,2297
854,1581,1369,2302
855,1631,1372,2304
856,1583,1372,2307
857,1587,1384,2309
858,1590,1395,2315
859,1586,1376,2317
860,1721,1379,2324
861,1591,1382,2324
862,1593,1383,2328
863,1589,1382,2331
864,1594,1383,2335
865,1595,1387,2339
866,1594,1387,2342
867,1597,1390,2345
868,1599,1390,2349
869,1599,1393,2352
870,1678,1405,2354
871,1651,1395,2357
872,1601,1398,2362
873,1607,1398,2366
874,1606,1398,2368
875,1607,1401,2372
876,1604,1403,2376
877,1606,1404,2379
878,1609,1405,2381
879,1610,1406,2387
880,1628,1395,2392
881,1612,1409,2393
882,1632,1412,2397
883,1617,1411,2402
884,1614,1415,2404
885,1616,1424,2406
886,1616,1419,2409
887,1622,1418,2414
888,1624,1420,2417
889,1621,1420,2419
890,1626,1421,2425
891,1677,1421,2431
892,1626,1425,2430
893,1625,1426,2434
894,1628,1448,2437
895,1629,1430,2440
896,1627,1440,2445
897,1764,1492,2567
898,1763,1493,2571
899,1766,1494,2574
900,1765,1496,2577
901,1768,1501,2581
902,1769,1499,2584
903,1770,1500,2587
904,1771,1503,2591
905,1774,1505,2595
906,1774,1506,2598
907,1776,1507,2602
908,1777,1508,2605
909,1802,1510,2610
910,1782,1512,2612
911,1782,1514,2616
912,1782,1515,2620
913,1784,1517,2623
914,1787,1518,2627
915,1789,1520,2629
916,1788,1522,2633
917,1792,1523,2636
918,1791,1525,2640
919,1792,1527,2645
920,1793,1528,2646
921,1798,1530,2650
922,1796,1531,2654
923,1798,1533,2657
924,1799,1534,2661
925,1801,1536,2664
926,1802,1538,2668
927,1804,1539,2671
928,1806,1541,2675
929,1808,1543,2678
930,1811,1544,2681
931,1811,1546,2685
932,1815,1548,2689
933,1816,1549,2691
934,1815,1550,2694
935,1816,1552,2698
936,1820,1553,2702
937,1821,1556,2705
938,1820,1557,2708
939,1824,1559,2712
940,1824,1561,2715
941,1825,1562,2719
942,1827,1563,2722
943,1830,1565,2725
944,1832,1567,2729
945,1835,1569,2733
946,1833,1570,2737
947,1837,1572,2739
948,1839,1573,2743
949,1841,1575,2746
950,1842,1577,2749
951,1844,1578,2753
952,1845,1580,2756
953,1847,1582,2759
954,1848,1583,2763
955,1848,1584,2766
956,1851,1586,2770
957,1852,1587,2773
958,1857,1590,2777
959,1856,1592,2781
960,1856,1593,2784
961,1859,1595,2787
962,1864,1597,2791
963,1863,1599,2795
964,1865,1600,2797
965,1866,1601,2801
966,1868,1603,2804
967,1872,1605,2807
968,1871,1607,2811
969,1873,1609,2814
970,1876,1609,2819
971,1876,1611,2821
972,1879,1613,2826
973,1882,1615,2828
974,1883,1616,2831
975,1884,1618,2835
976,1910,1619,2838
977,1887,1622,2842
978,1891,1622,2847
979,1891,1625,2849
980,1893,1627,2852
981,1896,1629,2855
982,1898,1629,2859
983,1899,1631,2863
984,1902,1633,2866
985,1905,1634,2869
986,1905,1636,2873
987,1906,1638,2877
988,1910,1639,2880
989,1911,1641,2883
990,1913,1642,2887
991,1916,1645,2892
992,1943,1647,2894
993,1921,1647,2898
994,1922,1650,2902
995,1924,1651,2908
996,1927,1653,2908
997,1928,1654,2914
998,1929,1656,2914
999,1933,1657,2919
1000,1933,1660,2922
