COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
SEED 1759287768

Init: 12341

## MERGING 3 LISTS ##
Baseline (copy+sort) 482
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       525,525,525 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       478,478,478 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       486,486,486 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       482,482,482 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       821,821,821 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |       685,685,685 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       476,476,476 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |       483,483,483 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 8 LISTS ##
Baseline (copy+sort) 1721
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       594,594,594 |             0.0000 |
Find (O1)                                | true    |      ? |    1318,1318,1318 |             0.0000 |
Find (O3)                                | true    |      ? |    1312,1312,1312 |             0.0000 |
Find (Oz)                                | true    |      ? |    1291,1291,1291 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       806,806,806 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       793,793,793 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       587,587,587 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       848,848,848 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       784,784,784 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       573,573,573 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       987,987,987 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       850,850,850 |             0.0000 |
Find (O2)                                | true    |      ? |    1240,1240,1240 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |       825,825,825 |             0.0000 |
Find (Os)                                | true    |      ? |    1315,1315,1315 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       592,592,592 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       826,826,826 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       651,651,651 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       596,596,596 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       580,580,580 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       574,574,574 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       959,959,959 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |       785,785,785 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       586,586,586 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |       578,578,578 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 9 LISTS ##
Baseline (copy+sort) 1843
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       693,693,693 |             0.0000 |
