n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
102,181101,294245,169398,169016
103,184052,299428,171665,171244
104,187226,304763,173507,173238
105,190235,310053,175648,175225
106,193925,315707,178025,177643
107,196990,321081,180273,179839
108,199246,326202,181893,181613
109,202329,331640,184173,183806
110,205367,337059,186690,186466
111,208492,342616,189163,188896
112,211654,348192,191033,190947
113,214822,353811,193356,193043
114,218487,359890,195677,195312
115,221871,365701,197841,197474
116,224573,371085,199545,199386
117,227868,376902,201889,201534
118,231133,382780,204564,204224
119,234462,388631,206949,206617
120,237830,394598,208749,208562
121,241255,400626,210966,210587
122,244952,406799,213531,213142
123,248384,412861,215902,215492
124,252588,419410,218633,218577
125,256053,425542,221009,220785
126,258452,431864,222909,222741
127,261916,437535,225492,225363
128,265432,443805,226900,226885
129,269002,450148,228934,228719
130,273052,456763,230903,230658
131,276724,463302,232930,232787
132,280356,469836,234568,234825
133,283988,476335,237040,236991
134,287717,482940,239165,239341
135,291380,489557,241439,241674
136,295124,496240,242926,243599
137,298899,502953,245151,245734
138,302641,509639,247112,247801
139,306429,516491,249258,249997
140,310221,523274,250881,252023
141,314044,530175,253169,254101
142,317964,537184,255561,256557
143,321806,544132,257713,258871
144,325732,551150,259439,260806
145,329672,558220,261899,263039
146,333631,565369,264076,265092
147,337574,572372,266281,267327
148,341581,579729,268104,269342
149,345618,586987,270537,271551
150,349675,594146,273027,273934
151,353716,601530,275317,276417
152,357438,608840,277169,278238
153,361688,616474,279555,280560
154,365898,623939,282006,282806
155,370272,631598,284241,285233
156,374538,639199,286517,287398
157,378817,646809,288813,289611
158,383032,654449,291377,292177
159,387349,662086,293523,294540
160,391596,669757,295378,296400
161,396027,677671,297714,298589
162,400324,685512,299648,300468
163,404822,693288,301827,302763
164,409262,701256,303842,304890
165,413635,709145,306234,307193
166,418433,717424,308720,309618
167,422942,725634,311176,312234
168,427373,733578,313176,314163
169,431928,741759,315538,316502
170,436415,749921,317551,318545
171,440964,758069,320040,321031
172,445633,766369,322006,323177
173,450309,774663,324535,325664
174,454994,783025,327316,328413
175,459688,791492,329810,331222
176,464402,799855,331806,333129
177,469030,808353,334202,335478
178,473757,816886,336415,337499
179,478472,825442,338707,339835
180,483261,834040,340847,342129
181,488139,842664,343297,344460
182,493011,851371,346045,347083
183,497886,860149,348509,349652
184,502773,868936,350636,351832
185,507650,877690,353057,354187
186,512534,886684,355723,356723
187,517456,895557,358284,359247
188,522326,904459,360654,361638
189,527375,913542,363106,364034
190,532462,922564,365937,366864
191,537505,931663,368461,369845
192,542629,940839,370372,371775
193,547709,950058,372770,374024
194,552862,959247,374949,376105
195,557992,968505,377456,378480
196,563057,977728,379335,380724
197,568201,987152,381893,382880
198,573371,996522,383933,384967
199,578617,1006023,386591,387696
200,583891,1015540,388502,389750
