n,Heap (Cache),Tournament Tree (Cache)
1683,92,111
1684,90,108
1685,92,109
1686,96,112
1687,93,109
1688,92,109
1689,91,108
1690,92,109
1691,94,110
1692,93,110
1693,93,110
1694,95,118
1695,93,110
1696,103,110
1697,95,110
1698,92,110
1699,113,122
1700,101,117
1701,98,109
1702,91,120
1703,92,110
1704,103,120
1705,102,112
1706,98,115
1707,98,123
1708,107,110
1709,92,111
1710,93,112
1711,94,112
1712,96,112
1713,103,116
1714,98,113
1715,95,113
1716,93,110
1717,92,114
1718,94,115
1719,97,120
1720,101,111
1721,98,113
1722,95,112
1723,94,111
1724,95,111
1725,94,111
1726,93,111
1727,93,113
1728,93,111
1729,94,112
1730,93,111
1731,96,111
1732,94,111
1733,94,114
1734,94,112
1735,95,120
1736,95,117
1737,96,114
1738,98,114
1739,95,113
1740,96,113
1741,96,115
1742,96,114
1743,99,114
1744,95,110
1745,94,112
1746,93,111
1747,104,124
1748,98,115
1749,94,112
1750,94,115
1751,109,119
1752,112,125
1753,101,115
1754,95,115
1755,94,114
1756,100,119
1757,97,115
1758,95,116
1759,98,118
1760,97,116
1761,96,118
1762,97,114
1763,95,113
1764,97,112
1765,97,116
1766,98,117
1767,97,116
1768,99,115
1769,103,120
1770,98,113
1771,97,114
1772,95,115
1773,97,116
1774,98,114
1775,94,115
1776,95,113
1777,96,116
1778,99,117
1779,99,114
1780,97,114
1781,96,115
1782,98,117
1783,98,116
1784,97,115
1785,99,114
1786,97,117
1787,97,114
1788,98,115
1789,96,114
1790,96,115
1791,100,118
1792,101,117
1793,97,119
1794,104,120
1795,99,117
1796,98,118
1797,98,144
1798,111,128
1799,108,120
1800,100,118
1801,99,123
1802,102,125
1803,114,120
1804,102,119
1805,105,125
1806,104,120
1807,100,119
1808,100,118
1809,107,124
1810,101,119
1811,103,120
1812,102,119
1813,99,118
1814,100,119
1815,100,118
1816,101,119
1817,100,119
1818,100,118
1819,100,119
1820,101,119
1821,100,119
1822,100,120
1823,100,120
1824,101,119
1825,101,120
1826,100,118
1827,101,120
1828,101,120
1829,101,119
1830,100,120
1831,102,120
1832,101,119
1833,102,121
1834,102,120
1835,102,120
1836,100,119
1837,101,120
1838,102,121
1839,102,120
1840,102,120
1841,101,120
1842,103,120
1843,103,120
1844,101,121
1845,102,120
1846,102,121
