n,Find,Heap Cache,Tournament Tree
443,18872,14045,14956
444,19689,14121,14978
445,19724,14135,14987
446,19008,14222,15040
447,19025,14227,15128
448,19936,14284,15119
449,20144,14287,15167
450,19357,14343,15191
451,19420,14373,15231
452,20257,14427,15273
453,20287,14512,15287
454,19474,14493,15327
455,19555,14519,15425
456,20459,14582,15414
457,20671,14759,15460
458,19804,14642,15526
459,19832,14667,15553
460,20729,14741,15568
461,20778,14758,15608
462,19977,14830,15667
463,20014,14856,15683
464,21026,14899,15718
465,21270,14938,15793
466,20363,14971,15809
467,20407,15099,15855
468,21381,15111,15929
469,21431,15086,15917
470,20480,15184,15964
471,20536,15246,16045
472,21656,15280,16059
473,21953,15267,16130
474,20864,15411,16155
475,20897,15388,16161
476,22027,15453,16232
477,22020,15473,16241
478,20995,15546,16281
479,21042,15612,16314
480,22118,15619,16369
481,22332,15662,16380
482,21362,15849,16445
483,21417,15724,16499
484,22396,15780,16484
485,22430,15800,16559
486,21533,15931,16580
487,21545,15920,16623
488,22615,15995,16636
489,22975,15984,16687
490,21901,16045,16733
491,21948,16082,16784
492,23019,16144,16812
493,23094,16184,16874
494,22111,16250,16889
495,22129,16361,16912
496,23267,16348,16939
497,23609,16386,16981
498,22467,16420,17027
499,22530,16531,17096
500,23679,16567,17132
501,23715,16560,17177
502,22677,16622,17184
503,22693,16653,17209
504,23934,16733,17289
505,24180,16912,17295
506,23060,16839,17367
507,23112,16864,17377
508,24249,16956,17420
509,24292,17186,17446
510,23216,17058,17494
511,23263,17044,17544
512,24509,17075,17576
513,24879,17072,17653
514,23605,17184,17636
515,23649,17163,17702
516,24890,17199,17760
517,24946,17214,17807
518,23814,17278,17865
519,23822,17328,17916
520,25172,17323,17931
521,25444,17333,17960
522,24184,17387,18028
523,24243,17451,18049
524,25522,17466,18089
525,25564,17489,18172
526,24388,17534,18235
527,24426,17662,18238
528,25782,17674,18270
529,26143,17612,18331
530,24803,17670,18410
531,24825,17700,18415
532,26202,17737,18466
533,26272,17759,18521
534,24980,17859,18573
535,25027,17920,18582
536,26501,17887,18635
537,26697,17902,18669
538,25414,17961,18717
539,25492,18019,18811
540,26759,18051,18856
541,26795,18059,18862
542,25608,18307,18905
543,25660,18182,18984
544,27005,18204,18995
545,27327,18235,19074
546,26014,18304,19099
547,26081,18274,19140
548,27616,18325,19384
549,27881,18572,19469
550,26262,18434,19383
551,26630,18736,19689
552,28041,18861,19744
553,28368,18787,20009
554,26949,18754,19514
555,26715,18578,19534
556,28045,18763,19551
557,28181,18703,19643
558,26902,18764,19741
559,26923,18800,19711
560,28380,18849,19753
561,28732,18898,19799
562,27241,18868,19817
563,27329,18885,19831
564,28716,19095,19902
565,28764,18976,19930
566,27471,19032,19989
567,27526,19061,20013
568,28970,19179,20039
569,29282,19136,20122
570,27906,19285,20117
571,27995,19227,20201
572,29488,19312,20273
573,29501,19371,20311
574,28203,19443,20357
575,28225,19529,20407
576,29664,19487,20458
577,29995,19546,20492
578,28604,19526,20549
579,28654,19556,20624
580,30083,19673,20644
581,30136,19749,20689
582,28800,19742,20814
583,28861,19675,20782
584,30367,19861,20904
585,30700,19858,21002
586,29250,19808,20945
587,29263,19949,20976
588,30722,19946,20990
589,30816,19935,21056
590,29453,19994,21046
591,29791,20296,21419
592,31400,20334,21540
593,31571,20224,21314
594,30270,20446,21607
595,30269,20477,21643
596,31621,20391,21596
597,31576,20347,21429
598,30502,20681,21740
599,30522,20624,21818
600,32040,20590,21812
601,32204,20916,21794
602,30670,20654,21832
603,30609,20552,21704
604,32264,20842,21837
605,32237,20681,21830
606,30788,20658,21814
607,30756,20725,21829
608,32432,20756,21869
609,32767,20948,21919
610,31233,20998,21930
611,31224,20799,21954
612,32830,20939,21993
613,32881,21097,22064
614,31362,21013,22086
615,31420,20985,22124
616,33112,21035,22182
617,33420,21067,22221
618,31852,21144,22286
619,31893,21141,22304
620,33526,21247,22346
621,33587,21241,22387
622,32084,21293,22436
623,32104,21315,22478
624,33791,21384,22509
625,34125,21406,22583
626,32496,21611,22632
627,32589,21498,22679
628,34240,21553,22712
629,34302,21551,22743
630,32759,21617,22816
631,32788,21651,22827
632,34521,21709,22886
633,34903,21716,22965
634,33258,21841,22948
635,33298,21854,23041
636,35003,21911,23055
637,35049,21903,23087
638,33448,21951,23114
639,33511,21985,23191
640,35258,22077,23237
641,35610,22041,23266
642,33927,22085,23342
643,34000,22113,23357
644,35713,22171,23396
645,35778,22209,23440
646,34151,22283,23508
647,34198,22270,23522
648,36005,22367,23587
649,36366,22327,23640
650,34650,22416,23678
651,34717,22411,23760
652,36465,22481,23758
653,36560,22554,23794
654,34868,22565,23833
655,34938,22580,23888
656,36742,22733,23958
657,37090,22641,23963
658,35352,22910,24021
659,35354,22729,24069
660,37155,22790,24143
661,37229,22806,24140
662,35519,23078,24220
663,35607,22959,24271
664,37419,22968,24290
665,37755,22999,24350
666,35997,23054,24353
667,36046,23077,24434
668,37813,23168,24480
669,37913,23235,24533
670,36247,23206,24556
671,36307,23242,24609
672,38150,23302,24627
673,38464,23372,24690
674,36789,23365,24724
675,36740,23405,24797
676,38571,23524,24824
677,38612,23476,24863
678,36906,23542,24938
679,36975,23603,24939
680,38836,23782,24998
681,39263,23718,25047
682,37421,23721,25086
683,37474,23778,25159
