n,Find (Cache SIMD),Insertion Sort Fast,Heap,Tournament Tree 2
225,6317,9576,7936,7082
226,6608,9689,7972,7122
227,6641,9716,8012,7156
228,6668,9671,8061,7191
229,6708,9804,8112,7227
230,6747,9817,8166,7265
231,6778,9804,8227,7296
232,6792,10143,8263,7329
233,6925,10213,8284,7365
234,6702,10181,8331,7405
235,6749,10245,8387,7439
236,6768,10209,8452,7475
237,6804,10489,8504,7512
238,6854,10576,8566,7544
239,6869,10651,8609,7583
240,6914,10750,8663,7622
241,7159,10662,8692,7661
242,7415,10822,8768,7696
243,7432,10708,8805,7736
244,7513,10709,8864,7775
245,7510,11058,8925,7813
246,7678,11128,8975,7851
247,7668,11334,9010,7886
248,7733,11274,9080,7921
249,7907,11439,9112,7958
250,7702,11387,9173,7993
251,7803,11266,9249,8028
252,7903,11694,9320,8066
253,7926,11795,9313,8099
254,8004,11889,9379,8134
255,7988,11883,9448,8171
256,8163,12062,9486,8201
257,8322,12008,9524,8251
258,8402,12105,9541,8294
259,8547,12172,9635,8343
260,8574,12313,9649,8390
261,8598,12496,9679,8432
262,8655,12532,9728,8479
263,8689,12640,9745,8524
264,8824,12688,9796,8566
265,8996,12696,9809,8613
266,9013,12908,9853,8661
267,9060,12902,9902,8707
268,9110,13021,9950,8753
269,9159,13211,9979,8797
270,9148,13251,10027,8840
271,9232,13297,10075,8886
272,9280,13490,10141,8930
273,9453,13530,10151,8972
274,9485,13513,10174,9023
275,9529,13584,10232,9068
276,9561,13770,10276,9111
277,9586,13836,10300,9156
278,9630,13947,10333,9199
279,9678,14075,10391,9242
280,9696,14162,10447,9289
281,9862,14263,10475,9332
282,9900,14300,10568,9377
283,9922,14396,10581,9423
284,9963,14601,10674,9466
285,10011,14536,10665,9514
286,10044,14741,10675,9550
287,10093,14854,10733,9601
288,10117,14835,10801,9631
289,10241,15141,10813,9682
290,10257,15257,10820,9726
291,10318,15287,10862,9776
292,10367,15294,10942,9820
293,10402,15476,10981,9859
294,10444,15515,11003,9909
295,10478,15632,11050,9955
296,10512,15710,11148,9994
297,10691,15958,11157,10036
298,10718,16003,11228,10082
299,10766,15957,11232,10129
300,10799,16119,11288,10171
301,10829,16205,11347,10214
302,10862,16318,11398,10262
303,10907,16387,11497,10302
304,10945,16664,11475,10347
305,11174,16698,11495,10387
306,11214,16886,11597,10434
307,11256,17038,11609,10503
308,11287,17005,11673,10518
309,11311,17111,11735,10556
310,11346,17291,11743,10601
311,11397,17313,11816,10645
312,11443,17547,11841,10686
313,11698,17643,11889,10730
314,11734,17673,11947,10775
315,11769,17611,12010,10814
316,11806,17921,12053,10877
317,11854,17899,12089,10901
318,11879,18180,12111,10956
319,11907,18320,12150,10982
320,11968,18253,12225,11031
321,12151,18254,12265,11079
322,12176,18561,12308,11121
323,12223,18484,12381,11171
324,12272,18658,12442,11212
325,12305,18841,12464,11257
326,12328,18570,12496,11299
327,12384,19050,12529,11348
328,12410,19321,12590,11394
329,12555,19137,12626,11431
330,12603,19186,12749,11479
331,12628,19572,12707,11525
332,12658,19520,12735,11585
333,12715,19506,12838,11606
334,12738,19960,12834,11645
335,12794,19934,12917,11696
336,12823,19915,12910,11733
337,13005,20062,12983,11778
338,13022,20293,13059,11823
339,13078,20008,13088,11867
340,13127,20271,13196,11911
341,13134,20629,13196,11947
342,13185,20321,13285,12004
343,13226,20454,13326,12028
344,13263,20972,13388,12078
345,13481,21070,13385,12119
346,13523,20837,13453,12149
347,13569,21127,13519,12188
348,13588,21275,13630,12240
349,13633,21619,13610,12272
350,13658,21606,13650,12306
351,13711,21753,13779,12367
352,13752,22058,13787,12398
353,13909,22002,13759,12431
354,13951,21862,13847,12481
355,13985,21948,13962,12530
356,14023,21954,13997,12562
357,14046,22327,13997,12600
358,14101,22402,14091,12646
359,14138,22610,14120,12691
360,14168,22850,14170,12736
361,14350,22922,14159,12780
362,14402,22973,14279,12823
363,14444,22990,14332,12852
364,14475,23286,14428,12911
365,14519,23253,14424,12946
366,14571,23092,14470,12973
367,14605,23569,14593,13038
368,14638,23702,14591,13045
369,14825,23860,14679,13094
370,14855,23953,14733,13130
371,14902,23838,14764,13168
372,14939,23961,14791,13201
373,14972,24033,14860,13252
374,15016,24415,14973,13296
375,15064,24204,14954,13339
376,15116,24567,15064,13361
377,15323,24624,15160,13426
378,15358,24729,15175,13455
379,15402,24749,15241,13490
380,15456,25045,15299,13542
381,15497,24531,15319,13572
382,15548,25190,15446,13631
383,15572,25256,15471,13652
384,15622,25512,15415,13689
385,15826,25576,15534,13721
386,15853,25846,15549,13776
387,15869,26077,15589,13817
388,15910,25992,15597,13865
389,15944,26004,15652,13892
390,16011,26150,15739,13937
391,16052,26165,15919,13987
392,16088,26675,15851,14024
393,16397,26675,15830,14062
394,16434,26728,16010,14104
395,16475,26611,15936,14145
396,16526,27025,16058,14178
397,16560,26638,16080,14229
398,16606,26989,16092,14268
399,16644,27236,16148,14303
400,16689,27197,16246,14341
401,16920,27571,16257,14382
402,16948,27505,16402,14436
403,16988,27874,16414,14460
404,17031,27977,16461,14505
405,17075,27788,16527,14557
406,17130,27971,16635,14604
407,17161,28465,16534,14637
408,17196,28582,16672,14676
409,17469,28243,16641,14727
410,17475,28723,16792,14768
411,17539,28948,16761,14803
412,17574,28978,16896,14851
413,17619,28796,16857,14881
414,17652,29075,16952,14924
415,17708,29405,17097,14974
416,17767,29700,17227,14991
417,17991,29509,17164,15044
418,18020,29929,17117,15055
419,18081,29874,17320,15124
420,18115,29853,17285,15177
421,18163,29871,17341,15206
422,18193,29847,17394,15251
423,18233,30406,17509,15276
424,18291,30447,17475,15320
425,18582,30331,17490,15342
426,18630,30636,17664,15392
427,18671,30645,17598,15446
428,18698,31069,17711,15476
429,18749,31074,17737,15517
430,18771,31534,17911,15539
431,18845,31627,17860,15605
432,18886,31321,17971,15644
433,19190,31718,17980,15682
434,19246,32113,18078,15724
435,19288,31788,18066,15764
436,19341,31761,18208,15807
437,19375,32290,18209,15848
438,19424,32096,18314,15878
439,19482,32426,18302,15924
440,19513,32971,18366,15963
441,19834,32912,18432,15990
442,19862,32320,18495,16050
443,19891,33115,18607,16082
444,19933,33396,18579,16112
445,20002,33281,18742,16159
446,20051,32998,18744,16219
447,20079,33350,18845,16245
448,20139,33373,18950,16291
449,20808,33710,18991,16331
450,20858,34504,19068,16369
451,20891,34083,18947,16404
452,20927,34082,19063,16446
453,20998,34275,19070,16495
454,21058,34379,19136,16527
455,21090,34605,19220,16578
456,21142,34767,19366,16608
457,21751,34458,19343,16655
458,21800,35398,19378,16709
459,21815,34980,19369,16755
460,21888,34921,19559,16781
461,21941,35174,19591,16809
462,21999,35107,19622,16868
463,22036,35231,19714,16922
464,22104,35443,19796,16954
465,22539,35898,19978,16972
466,22600,35808,19798,17035
467,22646,36148,19946,17083
468,22680,36872,19922,17106
469,22747,36426,20055,17154
470,22804,36217,20076,17185
471,22846,36962,20166,17246
472,22901,37016,20196,17289
473,22458,36875,20373,17306
474,22490,37610,20307,17360
475,22539,37269,20395,17389
476,22575,37993,20500,17450
477,22657,37411,20429,17477
478,22685,37733,20557,17519
479,22743,38107,20681,17562
480,22791,38350,20648,17613
481,22482,38037,20704,17653
482,22543,39040,20800,17686
483,22591,38259,20775,17723
484,22631,38414,20986,17764
485,22696,38632,21018,17823
486,22738,38764,21022,17859
487,22762,39125,21163,17894
488,22835,39233,21078,17945
489,22991,39577,21118,17990
490,23057,39102,21210,18015
491,23111,39932,21361,18071
492,23144,39917,21345,18115
493,23181,39461,21507,18144
494,23239,40299,21423,18196
495,23296,40351,21515,18230
496,23321,39853,21584,18270
497,23452,40429,21636,18324
498,24553,40140,21821,18363
499,24614,40871,22004,18404
500,23570,40572,21931,18433
501,23610,41147,21941,18495
502,24606,41586,21878,18527
503,24672,40993,21937,18571
504,23754,41637,22078,18589
505,23993,41958,22218,18642
506,25175,42300,22211,18658
507,25232,41873,22238,18717
508,24121,42157,22351,18773
509,24162,43117,22300,18798
510,25194,42712,22463,18840
511,25244,42799,22428,18856
512,24301,42818,22576,18900
