n,Insertion Sort Fast,Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap
82,2.558409,3.179389,3.124920,2.746052
83,2.610514,3.251180,3.160278,2.774296
84,2.670271,3.332761,3.224547,2.821895
85,2.724772,3.405499,3.278160,2.864453
86,2.774716,3.461024,3.319751,2.927357
87,2.827991,3.533463,3.370302,2.959248
88,2.877605,3.604851,3.418184,3.018139
89,2.934873,3.618390,3.448916,3.045795
90,2.969974,3.722514,3.537645,3.113483
91,3.030143,3.802151,3.584070,3.144201
92,3.087613,3.837990,3.608607,3.192053
93,3.139771,3.912691,3.662000,3.237434
94,3.220627,4.003761,3.731365,3.308101
95,3.279817,4.084246,3.781016,3.348583
96,3.321614,4.151571,3.826482,3.395995
97,3.382206,4.228555,3.868059,3.417727
98,3.444357,4.305300,3.926191,3.479758
99,3.494227,4.383796,3.976424,3.505291
100,3.560707,4.480365,4.065408,3.549413
101,3.615633,4.558932,4.106575,3.590582
102,3.679375,4.614299,4.146661,3.658992
103,3.737803,4.695768,4.201242,3.692661
104,3.820275,4.801728,4.286970,3.756625
105,3.880930,4.880102,4.304719,3.780531
106,3.917734,4.950329,4.355004,3.841260
107,3.979150,5.035839,4.400709,3.872876
108,4.047319,5.117462,4.459952,3.923019
109,4.109087,5.204324,4.513752,3.973026
110,4.173746,5.317706,4.579334,4.036098
111,4.236514,5.404928,4.641770,4.075986
112,4.305607,5.467861,4.671476,4.136523
113,4.369408,5.562444,4.726399,4.162977
114,4.455229,5.659611,4.792922,4.234492
115,4.520754,5.748383,4.852932,4.269511
116,4.564694,5.815662,4.912630,4.314395
117,4.634183,5.907932,4.966776,4.365673
118,4.704043,6.023976,5.058271,4.438657
119,4.768162,6.113039,5.113365,4.478794
120,4.833672,6.188135,5.151390,4.541022
121,4.904402,6.295742,5.207087,4.575636
122,5.014190,6.395792,5.272350,4.651702
123,5.084515,6.493030,5.340207,4.688214
124,5.126340,6.591362,5.391682,4.738937
125,5.189345,6.685065,5.458202,4.794914
126,5.263857,6.782598,5.518758,4.861157
127,5.338109,6.886992,5.568466,4.913080
128,5.405752,7.012124,5.655132,4.955785
