n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
330,10593,11031,12122,10071,10264
331,10394,11066,12171,10102,10291
332,10633,11099,12308,10159,10336
333,10418,11127,12383,10192,10361
334,10698,11153,12342,10221,10395
335,10553,11195,12383,10270,10432
336,10732,11226,12561,10301,10461
337,10662,11425,12579,10324,10495
338,10914,11451,12533,10376,10528
339,10730,11485,12607,10421,10562
340,11045,11550,12751,10464,10605
341,10925,11557,12846,10486,10624
342,11031,11596,12772,10531,10689
343,10859,11626,12845,10580,10706
344,11044,11666,13007,10616,10741
345,10968,11848,13029,10653,10772
346,11253,11881,12989,10702,10800
347,10928,11916,13051,10756,10828
348,11240,11954,13259,10794,10869
349,11011,11999,13262,10822,10905
350,11324,12022,13236,10861,10932
351,11096,12052,13315,10912,10979
352,11288,12086,13462,10953,10967
353,11139,12281,13484,10992,10999
354,11385,12306,13451,11031,11049
355,11284,12353,13541,11054,11081
356,11504,12411,13670,11114,11103
357,11375,12446,13746,11138,11140
358,11514,12452,13721,11181,11153
359,11417,12500,13767,11228,11196
360,11573,12529,13919,11267,11219
361,11483,12704,13964,11286,11265
362,11644,12775,13943,11360,11272
363,11505,12780,13971,11421,11331
364,11754,12820,14175,11433,11371
365,11558,12860,14233,11482,11370
366,11779,12892,14192,11511,11392
367,11731,12950,14265,11557,11447
368,12008,12978,14409,11597,11486
369,11733,13189,14460,11641,11511
370,12074,13203,14411,11687,11548
371,11837,13256,14468,11711,11556
372,12030,13263,14644,11760,11602
373,11903,13299,14713,11822,11601
374,12142,13339,14640,11840,11658
375,11951,13360,14680,11924,11679
376,12352,13426,14875,11933,11719
377,11967,13619,14947,11987,11738
378,12298,13661,14866,12033,11776
379,12165,13694,14966,12095,11793
380,12462,13721,15115,12111,11829
381,12169,13760,15184,12141,11878
382,12343,13810,15128,12206,11891
383,12242,13843,15208,12229,11934
384,12537,13885,15336,12260,11953
385,12363,14109,15421,12303,11993
386,12472,14141,15363,12339,12042
387,12360,14158,15434,12377,12078
388,12592,14169,15615,12418,12107
389,12502,14253,15700,12455,12155
390,12705,14253,15615,12494,12199
391,12552,14305,15678,12550,12225
392,12703,14354,15870,12565,12276
393,12667,14573,15917,12598,12326
394,12984,14603,15843,12636,12353
